distribution,true_mean,true_variance,n,rep,method,lower,upper,width,sqrt_n_width,normalized_halfwidth,covered,empty_center_component,backend,runtime_seconds,score_evaluations,adjacent_component_width,full_set_diameter,largest_component_width,topology_component_count,topology_scan_points,topology_point_budget_reached
"Beta(0.5,0.5)",0.5,0.125,3000000,11,Gaffke,0.4992015135575261,0.5002534320805174,0.0010519185229913,1.821976327243745,2.5766636323108245,True,False,cornish-fisher-moments,0.0017872900352813,0,0.0010519185229913,0.0010519185229913,0.0010519185229913,1.0,,
"Beta(0.5,0.5)",0.5,0.125,1000,12,Square-root feedback,0.4690877759254364,0.5281940275534114,0.059106251627975,1.8691037909943624,2.643311930707194,True,False,local-batched-bisection,0.0005796182522317,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,1000,12,Squared-hinge feedback,0.4688278714092411,0.5281742043275999,0.0593463329183587,1.8766958280064123,2.6540486924156736,True,False,local-batched-bisection,0.0005796182522317,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,1000,12,Target-capped feedback,0.469942377215977,0.5303459488442828,0.0604035716283057,1.9101286515457192,2.701329844893388,True,False,local-batched-bisection,0.0005796182522317,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,1000,12,Regularized Efficient betting,0.4700040494740572,0.5277667269081412,0.0577626774340839,1.826616244413159,2.5832254661000977,True,False,local-batched-bisection,0.0023416869807988,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,1000,12,Gaffke,0.4705770822956364,0.5286945431017371,0.0581174608061007,1.8378354797284373,2.59909186084242,True,False,bspline-exact,0.0146360519574955,0,0.0581174608061007,0.0581174608061007,0.0581174608061007,1.0,,
"Beta(0.5,0.5)",0.5,0.125,3000,12,Square-root feedback,0.4808636307972874,0.5154512757829676,0.0345876449856801,1.8944433369637448,2.6791474602814715,True,False,local-batched-bisection,0.0011828387505374,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,3000,12,Squared-hinge feedback,0.4806715981234949,0.5156228249715555,0.0349512268480606,1.9143575357162992,2.707310390241126,True,False,local-batched-bisection,0.0011828387505374,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,3000,12,Target-capped feedback,0.4816112780072529,0.5151875509109592,0.0335762729037063,1.8390482066309453,2.600806915675401,True,False,local-batched-bisection,0.0011828387505374,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,3000,12,Regularized Efficient betting,0.4809865317085146,0.5186787049205067,0.0376921732119921,2.064485350960005,2.919623182648218,True,False,local-batched-bisection,0.0049952939734794,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,3000,12,Gaffke,0.4816013449193135,0.515166418419284,0.0335650734999704,1.838434790025269,2.5999394135922693,True,False,bspline-exact,0.1446678650099784,0,0.0335650734999704,0.0335650734999704,0.0335650734999704,1.0,,
"Beta(0.5,0.5)",0.5,0.125,10000,12,Square-root feedback,0.4875345451211319,0.5061630093496852,0.0186284642285532,1.8628464228553243,2.634462675820205,True,False,local-batched-bisection,0.0034043665073113,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,10000,12,Squared-hinge feedback,0.4874912279856944,0.5063062353620188,0.0188150073763243,1.8815007376324355,2.6608438607747726,True,False,local-batched-bisection,0.0034043665073113,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,10000,12,Target-capped feedback,0.4872522850773133,0.5055405001936396,0.0182882151163262,1.828821511632628,2.586344184910528,True,False,local-batched-bisection,0.0034043665073113,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,10000,12,Regularized Efficient betting,0.4872564770581621,0.5058031976601637,0.0185467206020015,1.8546720602001576,2.6229023812895123,True,False,local-batched-bisection,0.0150723760016262,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,10000,12,Gaffke,0.4872855312184468,0.5055276665435584,0.0182421353251115,1.82421353251116,2.5798275183418147,True,False,cornish-fisher-moments,0.0002309670089744,0,0.0182421353251115,0.0182421353251115,0.0182421353251115,1.0,,
"Beta(0.5,0.5)",0.5,0.125,30000,12,Square-root feedback,0.4914085569657433,0.5022339003268175,0.0108253433610741,1.8750044710758784,2.651656752505698,True,False,local-batched-bisection,0.0086999659979483,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,30000,12,Squared-hinge feedback,0.4913895559149173,0.5022812008150443,0.010891644900127,1.886488234501852,2.6678972464897948,True,False,local-batched-bisection,0.0086999659979483,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,30000,12,Target-capped feedback,0.4916195899132163,0.5021700244538276,0.0105504345406113,1.8273888666268432,2.58431811891328,True,False,local-batched-bisection,0.0086999659979483,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,30000,12,Regularized Efficient betting,0.4917631084886049,0.5020353999873364,0.0102722914987314,1.7792130785960694,2.5161872661021487,True,False,local-batched-bisection,0.0438903500325977,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,30000,12,Gaffke,0.4916303471487234,0.5021625443483164,0.010532197199593,1.8242300665029767,2.5798509009372834,True,False,cornish-fisher-moments,0.0002369079738855,0,0.010532197199593,0.010532197199593,0.010532197199593,1.0,,
"Beta(0.5,0.5)",0.5,0.125,100000,12,Square-root feedback,0.4963786556908343,0.5023824622236122,0.0060038065327778,1.898570327457646,2.6849839062097307,True,False,local-batched-bisection,0.0288249802397331,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,100000,12,Squared-hinge feedback,0.4963451557726298,0.502430382636408,0.0060852268637782,1.924317696838234,2.7213961851831883,True,False,local-batched-bisection,0.0288249802397331,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,100000,12,Target-capped feedback,0.4965954068172301,0.5023775814408276,0.0057821746235974,1.8284841639394644,2.58586710322762,True,False,local-batched-bisection,0.0288249802397331,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,100000,12,Regularized Efficient betting,0.4964904699873579,0.5023908926666041,0.0059004226792461,1.865877482413104,2.6387492413551774,True,False,local-batched-bisection,0.1349558539805002,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,100000,12,Gaffke,0.4965765268126056,0.5023481401012581,0.0057716132886524,1.8251443765836577,2.581143930653596,True,False,cornish-fisher-moments,0.0002716329763643,0,0.0057716132886524,0.0057716132886524,0.0057716132886524,1.0,,
"Beta(0.5,0.5)",0.5,0.125,300000,12,Square-root feedback,0.4985367405946782,0.5019852156459317,0.0034484750512535,1.8888075745653303,2.671177288663321,True,False,local-batched-bisection,0.0895934614964062,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,300000,12,Squared-hinge feedback,0.4985215062133031,0.5020110756882659,0.0034895694749627,1.9113159174185328,2.703008892392864,True,False,local-batched-bisection,0.0895934614964062,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,300000,12,Target-capped feedback,0.4987085434501848,0.5020400082108771,0.0033314647606922,1.824718398964719,2.580541507327626,True,False,local-batched-bisection,0.0895934614964062,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,300000,12,Regularized Efficient betting,0.4987536064942521,0.5021076027769782,0.003353996282726,1.837059421837524,2.5979943492479034,True,False,local-batched-bisection,0.4083205979550257,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,300000,12,Gaffke,0.4986825774469116,0.502010663926723,0.0033280864798114,1.8228680383206768,2.57792470220954,True,False,cornish-fisher-moments,0.0003663129755295,0,0.0033280864798114,0.0033280864798114,0.0033280864798114,1.0,,
"Beta(0.5,0.5)",0.5,0.125,1000000,12,Square-root feedback,0.499699334566813,0.5015798253721876,0.0018804908053745,1.8804908053745573,2.659415600878603,True,False,local-batched-bisection,0.2773312457429711,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,1000000,12,Squared-hinge feedback,0.4996869246315925,0.5015892204643885,0.0019022958327959,1.902295832795997,2.6902525663859205,True,False,local-batched-bisection,0.2773312457429711,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,1000000,12,Target-capped feedback,0.4997783514989803,0.5016031027648048,0.0018247512658244,1.8247512658244869,2.580587988086462,True,False,local-batched-bisection,0.2773312457429711,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,1000000,12,Regularized Efficient betting,0.4997338299799685,0.501595670826198,0.0018618408462295,1.8618408462295344,2.633040575718008,True,False,local-batched-bisection,1.3408435739693232,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,1000000,12,Gaffke,0.4997667829951345,0.5015886543753602,0.0018218713802256,1.821871380225604,2.5765152148144383,True,False,cornish-fisher-moments,0.0007569710141979,0,0.0018218713802256,0.0018218713802256,0.0018218713802256,1.0,,
"Beta(0.5,0.5)",0.5,0.125,3000000,12,Square-root feedback,0.4998318536368969,0.5008959135959679,0.0010640599590709,1.843005911410528,2.606403955450555,True,False,local-batched-bisection,0.8389857775036944,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,3000000,12,Squared-hinge feedback,0.4998371968070797,0.5008944158891742,0.0010572190820944,1.831157164918903,2.5896472974649782,True,False,local-batched-bisection,0.8389857775036944,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,3000000,12,Target-capped feedback,0.4998441591197423,0.5008962374244638,0.0010520783047214,1.8222530773185384,2.577055016019985,True,False,local-batched-bisection,0.8389857775036944,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,3000000,12,Regularized Efficient betting,0.4998446853410482,0.5009021877730765,0.0010575024320282,1.8316479414006512,2.590341360221561,True,False,local-batched-bisection,4.000459974980913,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,3000000,12,Gaffke,0.4998416101588063,0.5008931995677965,0.0010515894089901,1.8214062850723447,2.575857470940905,True,False,cornish-fisher-moments,0.0017102329875342,0,0.0010515894089901,0.0010515894089901,0.0010515894089901,1.0,,
"Beta(0.5,0.5)",0.5,0.125,1000,13,Square-root feedback,0.4821593881352148,0.5405471337021179,0.0583877455669031,1.8463826343381309,2.611179362811148,True,False,local-batched-bisection,0.0006143865030026,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,1000,13,Squared-hinge feedback,0.4821505971169489,0.5404482347466275,0.0582976376296785,1.8435331711692395,2.6071496133522185,True,False,local-batched-bisection,0.0006143865030026,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,1000,13,Target-capped feedback,0.4832011237997125,0.5420350135436052,0.0588338897438926,1.8604909519792123,2.6311315369614325,True,False,local-batched-bisection,0.0006143865030026,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,1000,13,Regularized Efficient betting,0.4769902693949221,0.5367691936023886,0.0597789242074665,1.8903755657017005,2.6733947629940564,True,False,local-batched-bisection,0.0022323610028252,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,1000,13,Gaffke,0.4806171372953702,0.5386102830661516,0.0579931457707813,1.8339042931383016,2.5935323234504306,True,False,bspline-exact,0.0162254970055073,0,0.0579931457707813,0.0579931457707813,0.0579931457707813,1.0,,
"Beta(0.5,0.5)",0.5,0.125,3000,13,Square-root feedback,0.4856820064309192,0.5188603293924137,0.0331783229614944,1.817251590620213,2.569981845699185,True,False,local-batched-bisection,0.0012389872426865,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,3000,13,Squared-hinge feedback,0.4857751072410744,0.5189011407064543,0.0331260334653799,1.81438757696596,2.5659315187465186,True,False,local-batched-bisection,0.0012389872426865,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,3000,13,Target-capped feedback,0.4832205740528416,0.516727938233789,0.0335073641809474,1.835273920444551,2.5954692689623244,True,False,local-batched-bisection,0.0012389872426865,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,3000,13,Regularized Efficient betting,0.4838123381064312,0.5152600062818891,0.0314476681754578,1.7224597240635569,2.4359259024121007,True,False,local-batched-bisection,0.0051684209611266,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,3000,13,Gaffke,0.4828611106877029,0.5162999934228293,0.0334388827351263,1.831523037179875,2.5901647189785413,True,False,bspline-exact,0.1466312880511395,0,0.0334388827351263,0.0334388827351263,0.0334388827351263,1.0,,
"Beta(0.5,0.5)",0.5,0.125,10000,13,Square-root feedback,0.4939642814762273,0.5126033380300897,0.0186390565538624,1.8639056553862443,2.6359606568311387,True,False,local-batched-bisection,0.0032196119864238,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,10000,13,Squared-hinge feedback,0.4938925311744354,0.5127433556093147,0.0188508244348792,1.8850824434879287,2.665909157772042,True,False,local-batched-bisection,0.0032196119864238,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,10000,13,Target-capped feedback,0.4947751295469638,0.5130972308841723,0.0183221013372084,1.8322101337208463,2.5911364202254425,True,False,local-batched-bisection,0.0032196119864238,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,10000,13,Regularized Efficient betting,0.4940088641880203,0.5132811345703187,0.0192722703822982,1.9272270382298284,2.7255106152367543,True,False,local-batched-bisection,0.0148300690343603,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,10000,13,Gaffke,0.4945922823056329,0.5127809855809757,0.0181887032753427,1.8188703275342777,2.572271085396969,True,False,cornish-fisher-moments,0.0002078730030916,0,0.0181887032753427,0.0181887032753427,0.0181887032753427,1.0,,
"Beta(0.5,0.5)",0.5,0.125,30000,13,Square-root feedback,0.4971247364168504,0.5080759725531288,0.0109512361362783,1.8968097393718395,2.6824940586610304,True,False,local-batched-bisection,0.0091989669890608,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,30000,13,Squared-hinge feedback,0.4970184843379099,0.5081050605747398,0.0110865762368298,1.9202513324175063,2.715645477469844,True,False,local-batched-bisection,0.0091989669890608,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,30000,13,Target-capped feedback,0.4973041125501188,0.5078654883967484,0.0105613758466295,1.8292839564193109,2.586998180599703,True,False,local-batched-bisection,0.0091989669890608,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,30000,13,Regularized Efficient betting,0.4968754682316553,0.5080076965024027,0.0111322282707474,1.92815849663892,2.7268278963516783,True,False,local-batched-bisection,0.0440344730159267,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,30000,13,Gaffke,0.497331819786563,0.5078568158636004,0.0105249960770374,1.8229827954891964,2.57808699335364,True,False,cornish-fisher-moments,0.0002531890058889,0,0.0105249960770374,0.0105249960770374,0.0105249960770374,1.0,,
"Beta(0.5,0.5)",0.5,0.125,100000,13,Square-root feedback,0.4976372907964801,0.5035256878840504,0.0058883970875702,1.8620746564224029,2.633371233263783,True,False,local-batched-bisection,0.0296175639959983,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,100000,13,Squared-hinge feedback,0.497606492813519,0.5035059683122264,0.0058994754987073,1.8655779576272933,2.638325649340817,True,False,local-batched-bisection,0.0296175639959983,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,100000,13,Target-capped feedback,0.4976149124059832,0.5033845489261644,0.0057696365201811,1.824519267506045,2.5802598929180744,True,False,local-batched-bisection,0.0296175639959983,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,100000,13,Regularized Efficient betting,0.497928431441162,0.5034959977422031,0.0055675663010411,1.7606190535288584,2.4898913436729937,True,False,local-batched-bisection,0.1389273419626988,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,100000,13,Gaffke,0.4976518405546961,0.5034160386632633,0.0057641981085672,1.8227994907507088,2.577827761306424,True,False,cornish-fisher-moments,0.0002434399793855,0,0.0057641981085672,0.0057641981085672,0.0057641981085672,1.0,,
"Beta(0.5,0.5)",0.5,0.125,300000,13,Square-root feedback,0.4980828735852313,0.5014783138305959,0.0033954402453646,1.859759215047092,2.6300967046679387,True,False,local-batched-bisection,0.0852000935119576,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,300000,13,Squared-hinge feedback,0.4980593137011848,0.5014742164594573,0.0034149027582724,1.8704192723924584,2.645172302341431,True,False,local-batched-bisection,0.0852000935119576,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,300000,13,Target-capped feedback,0.4982317874175475,0.5015635903674166,0.0033318029498691,1.8249036328055728,2.580803467537572,True,False,local-batched-bisection,0.0852000935119576,31,,,,,,
