distribution,n,method,replications,coverage,mean_width,q10_width,q90_width,mean_sqrt_n_width,q10_sqrt_n_width,q90_sqrt_n_width,mean_sqrt_n_largest_component,mean_normalized_halfwidth,mean_runtime_seconds,mean_score_evaluations,empty_rate
Bernoulli(0.1),10000,Common-clock Efficient betting,5,1.0,0.015607620997392019,0.01552821242034242,0.01570307107856806,1.5607620997392089,1.5528212420342458,1.5703071078568147,1.560762099739202,2.6012701662320152,0.0117417067289352,123.0,0.0
Bernoulli(0.1),10000,Common-clock STaR betting,5,1.0,0.01595151177900108,0.015704307656843365,0.016204863363050156,1.595151177900108,1.5704307656843364,1.6204863363050157,1.595151177900108,2.65858529650018,0.002471849648281932,123.0,0.0
Bernoulli(0.1),10000,Efficient betting,5,1.0,0.01552897827606164,0.01544747086607662,0.015582363707553379,1.5528978276061707,1.5447470866076696,1.5582363707553437,1.552897827606164,2.5881630460102847,0.015414554625749519,31.0,0.0
Bernoulli(0.1),10000,Gaffke,50,0.98,0.015571432807626566,0.015317700979351109,0.015801392392597383,1.5571432807626613,1.5317700979351188,1.5801392392597413,1.5571432807626566,2.595238801271102,0.00020950896199787802,0.0,0.0
Bernoulli(0.1),10000,Regularized Efficient betting,50,0.98,0.015900217514775564,0.014780539359160839,0.016845365486452442,1.5900217514775614,1.4780539359160922,1.6845365486452468,1.5900217514775563,2.6500362524626024,0.014672052995301738,31.0,0.0
Bernoulli(0.1),10000,STaR betting,5,1.0,0.015854537743647177,0.01528874513757108,0.016268229407049077,1.5854537743647177,1.528874513757108,1.626822940704908,1.5854537743647177,2.6424229572745297,0.0035367381758987905,31.0,0.0
Bernoulli(0.1),10000,Square-root feedback,50,0.98,0.015822788530977405,0.01535551693012524,0.01632724367267097,1.5822788530977454,1.5355516930125266,1.6327243672671023,1.5822788530977405,2.637131421829576,0.0032855696344631204,31.0,0.0
Bernoulli(0.1),10000,Squared-hinge feedback,50,0.98,0.015884486865563353,0.01521344147592262,0.01654838320163601,1.58844868655634,1.5213441475922638,1.6548383201636092,1.5884486865563354,2.6474144775939004,0.0032855696344631204,31.0,0.0
Bernoulli(0.1),10000,Target-capped feedback,50,0.98,0.015738264037454874,0.01547760968474334,0.01597416950178395,1.5738264037454934,1.547760968474341,1.597416950178404,1.5738264037454874,2.623044006242489,0.0032855696344631204,31.0,0.0
Bernoulli(0.1),30000,Capped original feedback,40,1.0,0.009739740504174033,0.00960896676265463,0.00987000307499877,1.6869725405766018,1.6643218641158581,1.7095346796759023,1.6869725405765936,2.811620900961003,0.015222895948681934,31.1,0.0
Bernoulli(0.1),30000,Common-clock Efficient betting,5,1.0,0.00894880767641742,0.00892226372498712,0.008976265485066859,1.5499789562717403,1.5453814090206512,1.554734788236273,1.549978956271736,2.5832982604529007,0.03341648383066054,123.0,0.0
Bernoulli(0.1),30000,Common-clock STaR betting,5,1.0,0.00923177759884394,0.009118247774216433,0.009304943966142,1.5989907845373916,1.5793268420944693,1.61166357109394,1.5989907845373916,2.664984640895653,0.005732520343735814,123.0,0.0
Bernoulli(0.1),30000,Efficient betting,5,1.0,0.008942209112179519,0.0089210623167133,0.008973116097279521,1.548836051420038,1.5451733190035568,1.5541892982702439,1.548836051420031,2.581393419033397,0.04195046217646442,31.0,0.0
Bernoulli(0.1),30000,Gaffke,40,1.0,0.008958378352419473,0.0088803655594191,0.009028956886489371,1.5516366459815771,1.5381244338698712,1.5638612066748618,1.5516366459815694,2.586061076635962,0.00021834829676658252,0.0,0.0
Bernoulli(0.1),30000,Regularized Efficient betting,40,1.0,0.009114301438049099,0.0086802814519406,0.00944228280468818,1.5786433166199199,1.5034688498758944,1.6354513557154033,1.5786433166199123,2.631072194366533,0.04190705437940774,31.0,0.0
Bernoulli(0.1),30000,STaR betting,5,1.0,0.009238489605892741,0.009114085298332164,0.009328183831588616,1.60015333826032,1.5786058801227856,1.6156888338654005,1.60015333826032,2.6669222304338667,0.009984903363510966,31.0,0.0
Bernoulli(0.1),30000,Square-root feedback,40,1.0,0.00919642611944321,0.00897009974232678,0.00935918778418067,1.5928677286929211,1.5536668502670512,1.6210588759778934,1.5928677286929127,2.6547795478215357,0.009316680256597418,31.0,0.0
Bernoulli(0.1),30000,Squared-hinge feedback,40,1.0,0.009264266595878673,0.00883156058018084,0.00947200766902296,1.604618043892512,1.529671163499579,1.640599853242992,1.6046180438925028,2.67436340648752,0.009316680256597418,31.0,0.0
Bernoulli(0.1),30000,Target-capped feedback,40,1.0,0.009039861187388896,0.00896782377153434,0.009111807212311189,1.5657498869927573,1.5532726405621524,1.578211304049558,1.5657498869927484,2.609583144987929,0.009316680256597418,31.0,0.0
