distribution,population_mean,population_variance,replication,n,sampling_fraction,method,width,normalized_width
Bernoulli(0.5),0.5,0.25,2,3600,0.9,Shekhar--Ramdas AS-CI,0.030164804246856525,2.2216742863503556
Bernoulli(0.5),0.5,0.25,2,3600,0.9,Shekhar--Ramdas rate CI,0.05370008159952222,3.955075905291415
Bernoulli(0.5),0.5,0.25,3,400,0.1,Bridge-efficient betting,0.12614952614530917,1.03234056108995
Bernoulli(0.5),0.5,0.25,3,400,0.1,WSR running intersection,0.13897559065371756,1.137302244544348
Bernoulli(0.5),0.5,0.25,3,400,0.1,Exact hypergeometric,0.124,1.0147499835052993
Bernoulli(0.5),0.5,0.25,3,400,0.1,Bardenet--Maillard EBS,0.33018966878986444,2.7020964593398
Bernoulli(0.5),0.5,0.25,3,400,0.1,Shekhar--Ramdas AS-CI,0.29418112765867765,2.407421729348496
Bernoulli(0.5),0.5,0.25,3,400,0.1,Shekhar--Ramdas rate CI,0.4652654683044994,3.8074848894159365
Bernoulli(0.5),0.5,0.25,3,1200,0.3,Bridge-efficient betting,0.06343314591795218,1.0194982397567456
Bernoulli(0.5),0.5,0.25,3,1200,0.3,WSR running intersection,0.07401575054973364,1.1895819812772712
Bernoulli(0.5),0.5,0.25,3,1200,0.3,Exact hypergeometric,0.06275,1.0085187108248193
Bernoulli(0.5),0.5,0.25,3,1200,0.3,Bardenet--Maillard EBS,0.1410339108998433,2.266698613598285
Bernoulli(0.5),0.5,0.25,3,1200,0.3,Shekhar--Ramdas AS-CI,0.14675532772677485,2.358653289652284
Bernoulli(0.5),0.5,0.25,3,1200,0.3,Shekhar--Ramdas rate CI,0.24738869355830773,3.9760338852599326
Bernoulli(0.5),0.5,0.25,3,2000,0.5,Bridge-efficient betting,0.04149048263207078,1.0186080620932434
Bernoulli(0.5),0.5,0.25,3,2000,0.5,WSR running intersection,0.04919220553711057,1.2076884618719088
Bernoulli(0.5),0.5,0.25,3,2000,0.5,Exact hypergeometric,0.041,1.0065665158963855
Bernoulli(0.5),0.5,0.25,3,2000,0.5,Bardenet--Maillard EBS,0.08953617557038296,2.198149177818718
Bernoulli(0.5),0.5,0.25,3,2000,0.5,Shekhar--Ramdas AS-CI,0.09537411331971296,2.341472901242208
Bernoulli(0.5),0.5,0.25,3,2000,0.5,Shekhar--Ramdas rate CI,0.16322771402296,4.007306131751766
Bernoulli(0.5),0.5,0.25,3,2800,0.7,Bridge-efficient betting,0.02717652479186644,1.0191566333840276
Bernoulli(0.5),0.5,0.25,3,2800,0.7,WSR running intersection,0.03387120254337772,1.2702161522546374
Bernoulli(0.5),0.5,0.25,3,2800,0.7,Exact hypergeometric,0.02675,1.003161373715524
Bernoulli(0.5),0.5,0.25,3,2800,0.7,Bardenet--Maillard EBS,0.06044549108034175,2.266788107180003
Bernoulli(0.5),0.5,0.25,3,2800,0.7,Shekhar--Ramdas AS-CI,0.06119662990202546,2.294956834365472
Bernoulli(0.5),0.5,0.25,3,2800,0.7,Shekhar--Ramdas rate CI,0.1069327635922021,4.010124038143957
Bernoulli(0.5),0.5,0.25,3,3200,0.8,Bridge-efficient betting,0.020882136002183027,1.025329701472773
Bernoulli(0.5),0.5,0.25,3,3200,0.8,WSR running intersection,0.02681697644293307,1.3167351485384675
Bernoulli(0.5),0.5,0.25,3,3200,0.8,Exact hypergeometric,0.0205,1.0065665158963855
Bernoulli(0.5),0.5,0.25,3,3200,0.8,Bardenet--Maillard EBS,0.048618139140753414,2.3871898011840904
Bernoulli(0.5),0.5,0.25,3,3200,0.8,Shekhar--Ramdas AS-CI,0.04620959549377629,2.268928367665937
Bernoulli(0.5),0.5,0.25,3,3200,0.8,Shekhar--Ramdas rate CI,0.08146741543300773,4.00011573226761
Bernoulli(0.5),0.5,0.25,3,3600,0.9,Bridge-efficient betting,0.01399787757545723,1.0309605995906432
Bernoulli(0.5),0.5,0.25,3,3600,0.9,WSR running intersection,0.020720117259770743,1.5260616760340486
Bernoulli(0.5),0.5,0.25,3,3600,0.9,Exact hypergeometric,0.0135,0.9942913144830148
Bernoulli(0.5),0.5,0.25,3,3600,0.9,Bardenet--Maillard EBS,0.03668711205976216,2.702050138850858
Bernoulli(0.5),0.5,0.25,3,3600,0.9,Shekhar--Ramdas AS-CI,0.02983350098719917,2.1972734009031543
Bernoulli(0.5),0.5,0.25,3,3600,0.9,Shekhar--Ramdas rate CI,0.05370137616563514,3.955171251650089
Bernoulli(0.5),0.5,0.25,4,400,0.1,Bridge-efficient betting,0.12600160650908943,1.0311300655382236
Bernoulli(0.5),0.5,0.25,4,400,0.1,WSR running intersection,0.14879835555329923,1.2176865229300489
Bernoulli(0.5),0.5,0.25,4,400,0.1,Exact hypergeometric,0.12375,1.012704116603071
Bernoulli(0.5),0.5,0.25,4,400,0.1,Bardenet--Maillard EBS,0.33013676011519755,2.701663482914433
Bernoulli(0.5),0.5,0.25,4,400,0.1,Shekhar--Ramdas AS-CI,0.2899217556366417,2.3725652963718513
Bernoulli(0.5),0.5,0.25,4,400,0.1,Shekhar--Ramdas rate CI,0.46513455307098694,3.8064135488429742
Bernoulli(0.5),0.5,0.25,4,1200,0.3,Bridge-efficient betting,0.06347128944471458,1.0201112829509562
Bernoulli(0.5),0.5,0.25,4,1200,0.3,WSR running intersection,0.07578954026103024,1.218090349610517
Bernoulli(0.5),0.5,0.25,4,1200,0.3,Exact hypergeometric,0.06275,1.0085187108248193
Bernoulli(0.5),0.5,0.25,4,1200,0.3,Bardenet--Maillard EBS,0.14103827746463654,2.266768793077106
Bernoulli(0.5),0.5,0.25,4,1200,0.3,Shekhar--Ramdas AS-CI,0.14687980149240693,2.360653833423547
Bernoulli(0.5),0.5,0.25,4,1200,0.3,Shekhar--Ramdas rate CI,0.24740050022070387,3.976223642071708
Bernoulli(0.5),0.5,0.25,4,2000,0.5,Bridge-efficient betting,0.04159204661846161,1.0211014988718279
Bernoulli(0.5),0.5,0.25,4,2000,0.5,WSR running intersection,0.048092647921293974,1.1806938794724005
Bernoulli(0.5),0.5,0.25,4,2000,0.5,Exact hypergeometric,0.041,1.0065665158963855
Bernoulli(0.5),0.5,0.25,4,2000,0.5,Bardenet--Maillard EBS,0.08954428999938036,2.198348390319313
Bernoulli(0.5),0.5,0.25,4,2000,0.5,Shekhar--Ramdas AS-CI,0.09566789251703978,2.348685298878698
Bernoulli(0.5),0.5,0.25,4,2000,0.5,Shekhar--Ramdas rate CI,0.16325005174644686,4.007854531861601
Bernoulli(0.5),0.5,0.25,4,2800,0.7,Bridge-efficient betting,0.027222277689725183,1.0208724292669225
Bernoulli(0.5),0.5,0.25,4,2800,0.7,WSR running intersection,0.03328084386885166,1.2480768992108078
Bernoulli(0.5),0.5,0.25,4,2800,0.7,Exact hypergeometric,0.02675,1.003161373715524
Bernoulli(0.5),0.5,0.25,4,2800,0.7,Bardenet--Maillard EBS,0.060460267806301926,2.2673422544963855
Bernoulli(0.5),0.5,0.25,4,2800,0.7,Shekhar--Ramdas AS-CI,0.06199124354859881,2.3247559265998503
Bernoulli(0.5),0.5,0.25,4,2800,0.7,Shekhar--Ramdas rate CI,0.10697380578588794,4.011663176214917
Bernoulli(0.5),0.5,0.25,4,3200,0.8,Bridge-efficient betting,0.020854238979518325,1.0239599351846025
Bernoulli(0.5),0.5,0.25,4,3200,0.8,WSR running intersection,0.026279050670564352,1.2903225597333918
Bernoulli(0.5),0.5,0.25,4,3200,0.8,Exact hypergeometric,0.0205,1.0065665158963855
Bernoulli(0.5),0.5,0.25,4,3200,0.8,Bardenet--Maillard EBS,0.048620067994995075,2.387284509481344
Bernoulli(0.5),0.5,0.25,4,3200,0.8,Shekhar--Ramdas AS-CI,0.046838183801513555,2.299792560000196
Bernoulli(0.5),0.5,0.25,4,3200,0.8,Shekhar--Ramdas rate CI,0.08147279599722562,4.000379922305579
Bernoulli(0.5),0.5,0.25,4,3600,0.9,Bridge-efficient betting,0.014004494715482041,1.0314479599501536
Bernoulli(0.5),0.5,0.25,4,3600,0.9,WSR running intersection,0.020754208043217592,1.5285725034329465
Bernoulli(0.5),0.5,0.25,4,3600,0.9,Exact hypergeometric,0.0135,0.9942913144830148
Bernoulli(0.5),0.5,0.25,4,3600,0.9,Bardenet--Maillard EBS,0.03668797379172628,2.7021136064514018
Bernoulli(0.5),0.5,0.25,4,3600,0.9,Shekhar--Ramdas AS-CI,0.029999590995104075,2.20950613070184
Bernoulli(0.5),0.5,0.25,4,3600,0.9,Shekhar--Ramdas rate CI,0.053703803391183524,3.955350019744982
Bernoulli(0.5),0.5,0.25,5,400,0.1,Bridge-efficient betting,0.12603573258966205,1.0314093352132088
