distribution,n,rep,method,calibration,lower,upper,width,sqrt_n_width,empty,noncoverage,sample_mean_excluded,poisson_round_fraction,evaluations,solvency_c,third_moment_shrinkage,skewness_epsilon
"Beta(2,2)",10,30,PE-betting,Uniformly randomized,0.1663599661551416,0.8798645692877471,0.7135046031326056,2.256299666913544,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,31,PE-betting,Deterministic,0.17556634871289134,0.7278163754381239,0.5522500267252326,1.7463679223405937,False,False,False,0.3,61,1.0,10.0,0.05
"Beta(2,2)",10,31,PE-betting,Uniformly randomized,0.20167843019589782,0.692275722976774,0.49059729278087616,1.5514048591000504,False,False,False,0.3,61,1.0,10.0,0.05
"Beta(2,2)",10,32,PE-betting,Deterministic,0.09470781264826655,0.8174172504805028,0.7227094378322363,2.285407910049729,False,False,False,0.2,61,1.0,10.0,0.05
"Beta(2,2)",10,32,PE-betting,Uniformly randomized,0.15459123579785228,0.7535348660312593,0.598943630233407,1.8940260615872535,False,False,False,0.2,61,1.0,10.0,0.05
"Beta(2,2)",10,33,PE-betting,Deterministic,0.17869315249845386,0.7392328078858554,0.5605396553874016,1.772582029870062,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,33,PE-betting,Uniformly randomized,0.23129641776904464,0.6623140866868198,0.43101766891777515,1.3629975455565313,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,34,PE-betting,Deterministic,0.1699648075737059,0.7195529895834625,0.5495881820097566,1.7379504302620066,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,34,PE-betting,Uniformly randomized,0.33468709932640195,0.6663167136721313,0.33162961434572935,1.048704920895755,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,35,PE-betting,Deterministic,0.18036082526668906,0.7256930465810001,0.545332221314311,1.7244919008322444,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,35,PE-betting,Uniformly randomized,0.33464426128193736,0.6881091413088143,0.3534648800268769,1.1177540937630894,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,36,PE-betting,Deterministic,0.12952536856755614,0.8380566635169089,0.7085312949493527,2.240572685548511,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,36,PE-betting,Uniformly randomized,0.3529997137375176,0.6924904626794159,0.33949074894189835,1.073564011212797,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,37,PE-betting,Deterministic,0.21776316268369555,0.8461967273615301,0.6284335646778345,1.9872814224806965,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,37,PE-betting,Uniformly randomized,0.25958681805059314,0.7629528907127678,0.5033660726621747,1.5917832864662884,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,38,PE-betting,Deterministic,0.22433361457660794,0.7672833991236985,0.5429497845470905,1.7169579742664993,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,38,PE-betting,Uniformly randomized,0.27494246838614345,0.7556618708185852,0.4807194024324417,1.5201682271216035,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,39,PE-betting,Deterministic,0.1639299220405519,0.7851698310114443,0.6212399089708924,1.964533085743691,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,39,PE-betting,Uniformly randomized,0.23144605616107583,0.7610837356187403,0.5296376794576645,1.6748614017323935,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,40,PE-betting,Deterministic,0.2962178844027221,0.9013643800280988,0.6051464956253767,1.9136412442453108,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,40,PE-betting,Uniformly randomized,0.4054552628658712,0.7151833618991077,0.3097280990332365,0.9794462482992232,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,41,PE-betting,Deterministic,0.1937705078162253,0.722910103853792,0.5291395960375667,1.6732863236601179,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,41,PE-betting,Uniformly randomized,0.2130607427097857,0.7041532224975526,0.49109247978776693,1.5529707779095467,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,42,PE-betting,Deterministic,0.15987246157601476,0.7936558448709548,0.63378338329494,2.004199034379522,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,42,PE-betting,Uniformly randomized,0.3044536975212395,0.7368444320745766,0.4323907345533371,1.3673395603418137,False,False,False,0.0,61,1.0,10.0,0.05
