distribution,true_mean,true_variance,n,rep,method,lower,upper,width,sqrt_n_width,normalized_halfwidth,covered,empty_center_component,backend,runtime_seconds,u_plus,u_minus
"Uniform(0,1)",0.5,0.08333333333333333,5000,16,Gaffke,0.49057294287526243,0.5119173219154219,0.02134437904015951,1.5092755159512803,2.614141876247349,True,False,bspline-exact,0.4250473976135254,,
"Uniform(0,1)",0.5,0.08333333333333333,10000,16,STaR,0.49328397975542826,0.5086165016947002,0.015332521939271926,1.5332521939271926,2.655670700698347,True,False,direct-two-arm,0.014687538146972656,,
"Uniform(0,1)",0.5,0.08333333333333333,10000,16,Probit-STaR,0.49278213619280187,0.5070746923276177,0.014292556134815837,1.4292556134815837,2.4755433395531283,True,False,randomized,0.039136648178100586,0.47991528886541657,0.05747143852565395
"Uniform(0,1)",0.5,0.08333333333333333,10000,16,Gaffke,0.4930586504111336,0.5080960337107114,0.015037383299577822,1.5037383299577822,2.604551188775652,True,False,cornish-fisher,0.02459120750427246,,
"Uniform(0,1)",0.5,0.08333333333333333,50000,16,STaR,0.4970760615813755,0.5039489817134191,0.006872920132043547,1.5368316619176203,2.661870521121834,True,False,direct-two-arm,0.09453463554382324,,
"Uniform(0,1)",0.5,0.08333333333333333,50000,16,Probit-STaR,0.4968805331261992,0.5039256025062766,0.007045069380077429,1.5753254040055433,2.7285436381915695,True,False,randomized,0.18302059173583984,0.5623595083113148,0.8838772580875146
"Uniform(0,1)",0.5,0.08333333333333333,50000,16,Gaffke,0.49697390862626895,0.5036414798811827,0.00666757125491374,1.49091425708107,2.5823392429932204,True,False,cornish-fisher,0.0275266170501709,,
"Uniform(0,1)",0.5,0.08333333333333333,100000,16,STaR,0.497729783506869,0.5025632993740454,0.004833515867176452,1.5284919246841489,2.647425672511688,True,False,direct-two-arm,0.15502119064331055,,
"Uniform(0,1)",0.5,0.08333333333333333,100000,16,Probit-STaR,0.497313615184955,0.50216395883162,0.004850343646665034,1.533813335798847,2.656642626930307,True,False,randomized,0.35593175888061523,0.9739838559682344,0.11549279564675108
"Uniform(0,1)",0.5,0.08333333333333333,100000,16,Gaffke,0.49760482702597675,0.5023103224400415,0.004705495414064731,1.4880083027921658,2.5773059825203655,True,False,cornish-fisher,0.014024734497070312,,
"Uniform(0,1)",0.5,0.08333333333333333,500000,16,STaR,0.4991138616138804,0.5012413180647407,0.002127456450860321,1.504338883082398,2.6055913773001307,True,False,direct-two-arm,0.6309285163879395,,
"Uniform(0,1)",0.5,0.08333333333333333,500000,16,Probit-STaR,0.49906075537858197,0.5011001876354425,0.0020394322568605405,1.4420963785966732,2.4977841971405215,True,False,randomized,1.806915283203125,0.19471817116270196,0.19893667374702895
"Uniform(0,1)",0.5,0.08333333333333333,500000,16,Gaffke,0.49902507154679515,0.5011304592026409,0.002105387655845725,1.4887338884749615,2.578562733788212,True,False,cornish-fisher,0.020348548889160156,,
