distribution,n,method,replications,coverage,mean_width,median_width,q10_width,q90_width,mean_sqrt_n_width,mean_normalized_halfwidth,mean_runtime_seconds,empty_rate
Bernoulli(0.5),1000000,Probit-STaR,20,1.0,0.00259211683683202,0.0025900610335088947,0.0025154830115889037,0.0027149919122422595,2.5921168368320204,2.5921168368320204,3.617584729194641,0.0
Bernoulli(0.5),1000000,STaR,20,1.0,0.0026374028133342416,0.002640146257551934,0.002587419813461256,0.0026732508435336477,2.6374028133342415,2.6374028133342415,1.1324036955833434,0.0
"Beta(0.5,0.5)",10,Gaffke,50,1.0,0.5722685394148036,0.5710718285764055,0.5186795878057118,0.6299378092245663,1.8096720178086212,2.559262711032037,0.00030770778656005857,0.0
"Beta(0.5,0.5)",10,Probit-STaR,50,1.0,0.664941018593665,0.6700410357163793,0.5315666156048907,0.801327822830679,2.1027281284283537,2.973706637206773,0.00017543315887451173,0.0
"Beta(0.5,0.5)",10,STaR,50,1.0,0.6394821997356473,0.643208419408346,0.5990724104449355,0.6749076067414619,2.022220274299371,2.859851338020011,0.0003044557571411133,0.0
"Beta(0.5,0.5)",50,Gaffke,50,1.0,0.2663204078965207,0.26643503675102176,0.25011463657738603,0.28156261147101186,1.8831696639199718,2.6632040789652067,0.0002618551254272461,0.0
"Beta(0.5,0.5)",50,Probit-STaR,50,1.0,0.31539656044886377,0.3167326679177717,0.23603752074974585,0.40142730543362104,2.230190466563044,3.1539656044886373,0.0003065061569213867,0.0
"Beta(0.5,0.5)",50,STaR,50,1.0,0.26879364465259853,0.2676727277469305,0.253949100987397,0.2847248144512008,1.9006580887369962,2.687936446525985,0.00019091129302978516,0.0
"Beta(0.5,0.5)",100,Gaffke,50,1.0,0.18780765441977007,0.18786864385911836,0.1817314436457738,0.1949207863293053,1.8780765441977008,2.656001319979181,0.0003702497482299805,0.0
"Beta(0.5,0.5)",100,Probit-STaR,50,1.0,0.2097617370720942,0.20855841680738568,0.18147676999757492,0.23812383085670372,2.0976173707209416,2.9664789343429483,0.0004934072494506836,0.0
"Beta(0.5,0.5)",100,STaR,50,1.0,0.18828550957994383,0.1871693858932708,0.18214385737503172,0.19483339339274625,1.8828550957994385,2.662759212462859,0.0002361726760864258,0.0
"Beta(0.5,0.5)",500,Gaffke,50,1.0,0.08308439755648564,0.08301004623223629,0.08161156975598197,0.0844195146153018,1.8578236080591932,2.627359343014228,0.004266409873962402,0.0
"Beta(0.5,0.5)",500,Probit-STaR,50,1.0,0.08627630648452056,0.08536669698175736,0.07673027056517943,0.09599477565137374,1.929196861469939,2.7282963659783968,0.002086620330810547,0.0
"Beta(0.5,0.5)",500,STaR,50,1.0,0.08275268341378327,0.08340035229804854,0.07982279689191488,0.08527853006067236,1.8504062543373876,2.616869620783932,0.0008053255081176758,0.0
"Beta(0.5,0.5)",1000,Gaffke,50,0.98,0.058474129877570856,0.05843521289991799,0.057714673098789124,0.05905519136340885,1.849114346096267,2.6150425866279976,0.0161025333404541,0.0
"Beta(0.5,0.5)",1000,Probit-STaR,50,0.98,0.06026821443320831,0.06055496442964675,0.05496340661006684,0.06671389130197734,1.905848281203721,2.6952764871037544,0.004190359115600586,0.0
"Beta(0.5,0.5)",1000,STaR,50,0.98,0.058933175906273866,0.05922966059764667,0.057308552209823414,0.060298966019132684,1.8636306561118323,2.6355717491276227,0.0016005134582519531,0.0
"Beta(0.5,0.5)",5000,Gaffke,50,0.98,0.02595466291080032,0.025980658581769123,0.025807896136566144,0.02611789395418329,1.8352718147637885,2.5954662910800317,0.4248377799987793,0.0
"Beta(0.5,0.5)",5000,Probit-STaR,50,0.98,0.026761149829955304,0.02627087182702459,0.02497798470787612,0.0285204846901848,1.8922990517110616,2.6761149829955304,0.020054125785827638,0.0
"Beta(0.5,0.5)",5000,STaR,50,0.96,0.026252967409853927,0.02639488183642691,0.025586455877306614,0.02678457003129554,1.8563651281777143,2.6252967409853927,0.007727136611938476,0.0
"Beta(0.5,0.5)",10000,Gaffke,50,0.98,0.018324325106930616,0.018333598770007203,0.018239088683711525,0.018389157120354483,1.8324325106930615,2.591450908755509,0.02014345645904541,0.0
"Beta(0.5,0.5)",10000,Probit-STaR,50,0.98,0.01879172946790941,0.019095334217883564,0.017094275811918636,0.019633289415154288,1.879172946790941,2.657551867396363,0.03835315704345703,0.0
"Beta(0.5,0.5)",10000,STaR,50,0.96,0.01851886570769188,0.01865755574137351,0.01792802666293373,0.018968027472858938,1.8518865707691876,2.6189631043583876,0.01456085205078125,0.0
"Beta(0.5,0.5)",50000,Gaffke,30,1.0,0.008162846741820724,0.00816117503326394,0.008146949306795081,0.008178749004792601,1.8252680204623815,2.5813187895037917,0.016959754625956218,0.0
"Beta(0.5,0.5)",50000,Probit-STaR,30,1.0,0.008251068315275207,0.008293831943267688,0.007834658594768151,0.008562708659976482,1.8449949639950032,2.6092169005917936,0.18192050457000733,0.0
"Beta(0.5,0.5)",50000,STaR,30,1.0,0.008296790207347327,0.008371792684742918,0.008003516142548827,0.008466299281529921,1.8552186898683196,2.623675432379822,0.08734442392985026,0.0
"Beta(0.5,0.5)",100000,Gaffke,30,1.0,0.005769002847518684,0.005769173359842755,0.0057605383509189536,0.005779522364545342,1.8243188826156103,2.579976505888326,0.01930699348449707,0.0
"Beta(0.5,0.5)",100000,Probit-STaR,30,1.0,0.005833481488567166,0.005849659491398096,0.005588315023497198,0.006124038615205429,1.8447088192301735,2.608812230784569,0.35863770643870035,0.0
"Beta(0.5,0.5)",100000,STaR,30,1.0,0.005879961849064874,0.005925424171559501,0.005704709337765646,0.005977402831338519,1.859407199794021,2.629598879922883,0.15478814442952474,0.0
"Beta(0.5,0.5)",500000,Gaffke,20,0.95,0.0025773832226830247,0.0025774342795794325,0.0025756178260826156,0.0025790757284235464,1.8224851544756042,2.577383222683024,0.022072315216064453,0.0
"Beta(0.5,0.5)",500000,Probit-STaR,20,0.95,0.002567636713182997,0.0025729997327094134,0.0025069247140535266,0.002649671815149712,1.8155933315152357,2.567636713182997,1.8091947436332703,0.0
"Beta(0.5,0.5)",500000,STaR,20,1.0,0.0026349617935058993,0.002644080719392816,0.0025833481424466344,0.0026821504825440545,1.863199352355489,2.6349617935058993,0.6305698752403259,0.0
"Beta(0.5,0.5)",1000000,Gaffke,20,1.0,0.0018222654594206883,0.0018222761012730015,0.0018217033281132833,0.001822950939860607,1.8222654594206884,2.5770725269567762,0.035127675533294676,0.0
"Beta(0.5,0.5)",1000000,Probit-STaR,20,1.0,0.001829838365144651,0.00182421311821504,0.0017812236260082103,0.0018930508154830327,1.829838365144651,2.587782232938177,3.629338526725769,0.0
"Beta(0.5,0.5)",1000000,STaR,20,0.95,0.001852441745235786,0.0018675463451784668,0.0018117547619192042,0.0018954706504260232,1.852441745235786,2.6197482396185343,1.2291650772094727,0.0
"Beta(1,5)",10,Gaffke,50,1.0,0.44659898525208247,0.4432202867512992,0.428628082029954,0.4713033695969925,1.412269994116528,5.013061176282603,0.0003238964080810547,0.0
"Beta(1,5)",10,Probit-STaR,50,1.0,0.5524663814577339,0.5719124447320778,0.3560137795421302,0.7186673913341406,1.7470520960778537,6.2014197513768,0.0001889181137084961,0.0
"Beta(1,5)",10,STaR,50,1.0,0.4954070985403182,0.4914493194022329,0.4631565788545005,0.5311102259412347,1.5666148004028835,5.560930889140884,0.0003317594528198242,0.0
"Beta(1,5)",50,Gaffke,50,1.0,0.14206744618336997,0.14173005379611853,0.1346175990183599,0.1537454882024042,1.004568545821158,3.5658645988021997,0.0002733612060546875,0.0
"Beta(1,5)",50,Probit-STaR,50,1.0,0.16220918516417085,0.15924670595640222,0.12221127590421442,0.20388432202011048,1.1469921480032956,4.07141823490578,0.00032122611999511717,0.0
"Beta(1,5)",50,STaR,50,1.0,0.15254155841548223,0.15115476646177606,0.13895547310337136,0.16555682697213261,1.0786317036835136,3.8287627293433983,0.0002088785171508789,0.0
"Beta(1,5)",100,Gaffke,50,0.98,0.08936742066193869,0.08930728581193091,0.08480606336684977,0.09429855210599161,0.8936742066193868,3.172228743875126,0.00046204090118408204,0.0
"Beta(1,5)",100,Probit-STaR,50,1.0,0.10086985789537088,0.10004169648668076,0.08488019553087978,0.1220289540423941,1.0086985789537088,3.5805247621136096,0.0005292606353759766,0.0
"Beta(1,5)",100,STaR,50,1.0,0.09381938211061813,0.09338169844255648,0.0859621429325403,0.10104827485051755,0.9381938211061813,3.330257698605154,0.00030765533447265627,0.0
"Beta(1,5)",500,Gaffke,50,0.96,0.03520610904799357,0.035114935621534005,0.03357286252161677,0.03705337112516641,0.7872325305458402,2.794398275136358,0.0048237133026123044,0.0
