distribution,true_mean,true_variance,n,rep,method,lower,upper,width,sqrt_n_width,normalized_halfwidth,covered,empty_center_component,backend,runtime_seconds,score_evaluations,adjacent_component_width,full_set_diameter,largest_component_width,topology_component_count,topology_scan_points,topology_point_budget_reached
Bernoulli(0.1),0.1,0.09,1000,46,Capped original feedback,0.0715338131594909,0.1254337970493856,0.0538999838898947,1.704467149384498,2.8407785823074967,True,False,local-batched-bisection,0.0012998559977859,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,47,Capped original feedback,0.0779479701257903,0.1345194882319125,0.0565715181061222,1.788948479088014,2.981580798480024,True,False,local-batched-bisection,0.0015141500043682,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,48,Capped original feedback,0.0794729036821054,0.1354904735478614,0.0560175698657559,1.7714310976340135,2.952385162723356,True,False,local-batched-bisection,0.0012068899814039,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,49,Capped original feedback,0.0800438811773975,0.1367685245689659,0.0567246433915684,1.7937907257817467,2.9896512096362446,True,False,local-batched-bisection,0.0012347719748504,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,0,Capped original feedback,0.0860040524808906,0.1196998386333764,0.0336957861524858,1.8455942168586703,3.075990361431117,True,False,local-batched-bisection,0.002210295991972,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,1,Capped original feedback,0.0801088586417367,0.1113410838197191,0.0312322251779824,1.7106594251061775,2.851099041843629,True,False,local-batched-bisection,0.0021915700053796,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,2,Capped original feedback,0.0930963021013921,0.1254132640468255,0.0323169619454333,1.7700729047549884,2.9501215079249805,True,False,local-batched-bisection,0.002101369027514,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,3,Capped original feedback,0.0900967166498027,0.1227871960425496,0.0326904793927468,1.7905312979065255,2.984218829844209,True,False,local-batched-bisection,0.0021049259812571,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,4,Capped original feedback,0.0811255054544477,0.1145846082573375,0.0334591028028898,1.8326305359027115,3.054384226504519,True,False,local-batched-bisection,0.0021766310092061,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,5,Capped original feedback,0.095895945198683,0.1286645679689829,0.0327686227702998,1.7948113869670657,2.9913523116117764,True,False,local-batched-bisection,0.0021450210479088,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,6,Capped original feedback,0.0941977245465991,0.1277346671532659,0.0335369426066667,1.836893997542749,3.061489995904582,True,False,local-batched-bisection,0.0021679649944417,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,7,Capped original feedback,0.0788602317863623,0.1099791630287873,0.031118931242425,1.704454060692845,2.840756767821409,True,False,local-batched-bisection,0.002139490970876,32,,,,,,
