distribution,true_mean,true_variance,n,rep,method,calibration,lower,upper,width,sqrt_n_width,covered,empty,runtime_seconds,score_evaluations,topology_escalated,backend
"Beta(2,2)",0.5,0.05,10000,0,Original STaR,randomized_markov,0.4945069902729266,0.5064607294351444,0.0119537391622177,1.1953739162217758,True,False,0.0057865669950842,86,False,
"Beta(2,2)",0.5,0.05,10000,0,Squared-hinge STaR,randomized_markov,0.4944716294116273,0.506583166417393,0.0121115370057656,1.2111537005765616,True,False,0.0138223359826952,86,False,
"Beta(2,2)",0.5,0.05,10000,0,Efficient betting,randomized_markov,0.4945752469354827,0.5060733750001907,0.0114981280647079,1.1498128064707958,True,False,0.0093778348527848,123,False,
"Beta(2,2)",0.5,0.05,10000,0,Gaffke,not_applicable,0.4945201194096079,0.5061002084331673,0.0115800890235593,1.1580089023559392,True,False,0.1518190028145909,0,False,cornish-fisher-moments
"Beta(2,2)",0.5,0.05,100000,0,Original STaR,deterministic_markov,0.4975459856755967,0.5011621902854064,0.0036162046098097,1.1435443052199172,True,False,0.049685122910887,90,False,
"Beta(2,2)",0.5,0.05,100000,0,Squared-hinge STaR,deterministic_markov,0.4975717516935725,0.5011600897948105,0.003588338101238,1.134732141467608,True,False,0.1407748779747635,90,False,
"Beta(2,2)",0.5,0.05,100000,0,Efficient betting,deterministic_markov,0.4973055549045989,0.5009520496659754,0.0036464947613765,1.1531228921821988,True,False,0.1027982449159026,123,False,
"Beta(2,2)",0.5,0.05,100000,0,Original STaR,randomized_markov,0.4975459856755967,0.5011621902854064,0.0036162046098097,1.1435443052199172,True,False,0.0492501910775899,90,False,
"Beta(2,2)",0.5,0.05,100000,0,Squared-hinge STaR,randomized_markov,0.4975717516935725,0.5011600897948105,0.003588338101238,1.134732141467608,True,False,0.1399556600954383,90,False,
"Beta(2,2)",0.5,0.05,100000,0,Efficient betting,randomized_markov,0.497305641078572,0.500950240012539,0.0036445989339669,1.1525233789157203,True,False,0.0997574478387832,123,False,
"Beta(2,2)",0.5,0.05,100000,0,Gaffke,not_applicable,0.4973032421453467,0.5009500130844743,0.0036467709391275,1.1532102272554392,True,False,0.0002840170636773,0,False,cornish-fisher-moments
"Beta(2,2)",0.5,0.05,1000000,0,Original STaR,deterministic_markov,0.499094210720625,0.5002995894399209,0.0012053787192958,1.2053787192958798,True,False,0.4961395259015262,94,False,
"Beta(2,2)",0.5,0.05,1000000,0,Squared-hinge STaR,deterministic_markov,0.4990855676299737,0.500309340619117,0.0012237729891433,1.2237729891433349,True,False,1.267211931059137,94,False,
"Beta(2,2)",0.5,0.05,1000000,0,Efficient betting,deterministic_markov,0.4991247581646844,0.5002773475456945,0.00115258938101,1.152589381010094,True,False,0.8519283859059215,123,False,
"Beta(2,2)",0.5,0.05,1000000,0,Original STaR,randomized_markov,0.499094210720625,0.5002995894399209,0.0012053787192958,1.2053787192958798,True,False,0.4861198568250984,94,False,
"Beta(2,2)",0.5,0.05,1000000,0,Squared-hinge STaR,randomized_markov,0.4990855676299737,0.500309340619117,0.0012237729891433,1.2237729891433349,True,False,1.2734110378660262,94,False,
"Beta(2,2)",0.5,0.05,1000000,0,Efficient betting,randomized_markov,0.4991254537033404,0.5002772111655658,0.0011517574622254,1.1517574622254,True,False,0.8331683571450412,123,False,
"Beta(2,2)",0.5,0.05,1000000,0,Gaffke,not_applicable,0.4991250100731256,0.5002771242092229,0.0011521141360972,1.152114136097282,True,False,0.0007500478532165,0,False,cornish-fisher-moments
"Beta(2,2)",0.5,0.05,10000000,0,Original STaR,deterministic_markov,0.4996604952446739,0.5000254341415646,0.0003649388968907,1.154038120963983,True,False,4.9877478699199855,96,False,
"Beta(2,2)",0.5,0.05,10000000,0,Squared-hinge STaR,deterministic_markov,0.4996606775808767,0.5000272855553156,0.0003666079744388,1.159316207607656,True,False,13.474575078114867,96,False,
"Beta(2,2)",0.5,0.05,10000000,0,Efficient betting,deterministic_markov,0.4996791134972356,0.5000434924385687,0.0003643789413331,1.1522673860135335,True,False,8.308706460986286,123,False,
"Beta(2,2)",0.5,0.05,10000000,0,Original STaR,randomized_markov,0.4996604952446739,0.5000254341415646,0.0003649388968907,1.154038120963983,True,False,4.925427864072844,96,False,
"Beta(2,2)",0.5,0.05,10000000,0,Squared-hinge STaR,randomized_markov,0.4996606775808767,0.5000272855553156,0.0003666079744388,1.159316207607656,True,False,13.46434284793213,96,False,
