distribution,method,n,reps,mean_width_c1,mean_width_c05,mean_sqrt_n_width_c1,mean_sqrt_n_width_c05,mean_largest_component_width_c1,mean_largest_component_width_c05,width_relative_change,sqrt_n_width_relative_change,largest_component_width_relative_change
"Beta(0.5,0.5)",Common-clock STaR betting,1000000,30,0.00185901989481213,0.0018590040800592,1.859019894812175,1.8590040800592473,0.00185901989481213,0.0018590040800592,-8.507038022576019e-06,-8.507038021354774e-06,-8.507038022576019e-06
"Beta(0.5,0.5)",Common-clock STaR betting,3000000,30,0.0010675015656525233,0.00106750198077581,1.8489669488695706,1.8489676678841993,0.0010675015656525233,0.00106750198077581,3.888737027946121e-07,3.8887370545914735e-07,3.888737027946121e-07
"Beta(0.5,0.5)",Common-clock STaR betting,10000000,30,0.0005810968786154099,0.0005810961961336266,1.83758967763925,1.8375875194423508,0.0005810968786154099,0.0005810961961336266,-1.1744716044148618e-06,-1.174471605636107e-06,-1.1744716044148618e-06
"Beta(0.5,0.5)",Efficient betting,1000,30,0.05785419133881336,0.0577897561753663,1.829510168178366,1.8274725493993862,0.05785419133881336,0.0577897561753663,-0.0011137509998143669,-0.0011137509998147,-0.0011137509998143669
"Beta(0.5,0.5)",Efficient betting,3000,30,0.03341936179636702,0.03341210185000495,1.830453831329661,1.8300561876907826,0.03341936179636702,0.03341210185000495,-0.00021723773201631769,-0.00021723773201620666,-0.00021723773201631769
"Beta(0.5,0.5)",Efficient betting,10000,30,0.018256193664487212,0.018250224631298897,1.8256193664487264,1.8250224631298955,0.018256193664487212,0.018250224631298897,-0.0003269593485922817,-0.00032695934859194864,-0.0003269593485922817
"Beta(0.5,0.5)",Efficient betting,30000,30,0.010533203096026662,0.01053630350481655,1.8244042928760047,1.8249412994308378,0.010533203096026662,0.01053630350481655,0.00029434624602053816,0.0002943462460212043,0.00029434624602053816
"Beta(0.5,0.5)",Efficient betting,100000,30,0.005762951941599697,0.005761523578141634,1.822405418154487,1.8219537299690802,0.005762951941599697,0.005761523578141634,-0.0002478527450060497,-0.0002478527450079371,-0.0002478527450060497
"Beta(0.5,0.5)",Efficient betting,300000,30,0.0033269050038128634,0.003327092860270463,1.8222209172651445,1.8223238104845394,0.0033269050038128634,0.003327092860270463,5.6465831571594904e-05,5.646583156848628e-05,5.6465831571594904e-05
"Beta(0.5,0.5)",Efficient betting,1000000,30,0.0018216233594899533,0.0018213568339305135,1.8216233594900006,1.821356833930556,0.0018216233594899533,0.0018213568339305135,-0.0001463121111460186,-0.00014631211114868314,-0.0001463121111460186
"Beta(0.5,0.5)",Efficient betting,3000000,30,0.00105167836729598,0.0010516513691407499,1.821560365377799,1.82151360320123,0.00105167836729598,0.0010516513691407499,-2.567149431775828e-05,-2.567149431764726e-05,-2.567149431775828e-05
"Beta(0.5,0.5)",Efficient betting,10000000,30,0.0005759860452167867,0.0005759793903580033,1.821427803357971,1.8214067588466645,0.0005759860452167867,0.0005759793903580033,-1.155385419260302e-05,-1.1553854216805881e-05,-1.155385419260302e-05
"Beta(0.5,0.5)",STaR betting,1000,30,0.05858918804410127,0.058426305604269056,1.852752804792659,1.8476020097855075,,,-0.002780076755964145,-0.002780076755964145,
"Beta(0.5,0.5)",STaR betting,3000,30,0.03370432606997783,0.03371464851857443,1.8460619674036323,1.8466273511981373,,,0.00030626479743789403,0.0003062647974381161,
"Beta(0.5,0.5)",STaR betting,10000,30,0.018508352625331556,0.018504804711913698,1.8508352625331608,1.8504804711913747,,,-0.00019169255577089483,-0.00019169255577100586,
"Beta(0.5,0.5)",STaR betting,30000,30,0.010729880291506445,0.010729853921333443,1.8584697824021192,1.8584652149541758,,,-2.457639068254025e-06,-2.4576390676989135e-06,
"Beta(0.5,0.5)",STaR betting,100000,30,0.0058656402147053,0.00586533673541084,1.8548783013547996,1.8547823327754787,,,-5.173847753203731e-05,-5.1738477532925486e-05,
"Beta(0.5,0.5)",STaR betting,300000,30,0.0033701463894069833,0.0033701592020208,1.8459051995728184,1.8459122173304292,,,3.8017974106629993e-06,3.8017974122173115e-06,
"Beta(0.5,0.5)",STaR betting,1000000,30,0.00185910220277477,0.00185908350991855,1.8591022027748185,1.8590835099185965,,,-1.005477600535265e-05,-1.0054776006462873e-05,
"Beta(0.5,0.5)",STaR betting,3000000,30,0.0010675077870771499,0.0010675077870771499,1.8489777246931305,1.8489777246931305,,,0.0,0.0,
"Beta(0.5,0.5)",STaR betting,10000000,30,0.0005811108098508134,0.0005811100705121633,1.837633732073741,1.8376313940796405,,,-1.272285143461005e-06,-1.272285145681451e-06,
"Beta(1,5)",Common-clock Efficient betting,1000,30,0.023157808548839788,0.02392855778676081,0.732314206324525,0.7566874372912197,0.023157808548839788,0.02392855778676081,0.03328247732489498,0.0332824773248952,0.03328247732489498
"Beta(1,5)",Common-clock Efficient betting,3000,30,0.013279816323151953,0.01339683818812113,0.7273654959715664,0.7337750474880612,0.013279816323151953,0.01339683818812113,0.008812009302053392,0.00881200930205428,0.008812009302053392
"Beta(1,5)",Common-clock Efficient betting,10000,30,0.007226631425428177,0.007197368832213879,0.7226631425428224,0.719736883221392,0.007226631425428177,0.007197368832213879,-0.004049271575042868,-0.004049271575043756,-0.004049271575042868
"Beta(1,5)",Common-clock Efficient betting,30000,30,0.00418374078852466,0.00417808942262998,0.7246451611423069,0.7236663158561332,0.00418374078852466,0.00417808942262998,-0.0013507925515320318,-0.0013507925515306995,-0.0013507925515320318
"Beta(1,5)",Common-clock Efficient betting,100000,30,0.0022953814275669267,0.002295789616834203,0.7258633409960449,0.7259924217761476,0.0022953814275669267,0.002295789616834203,0.00017783069182919498,0.00017783069182919498,0.00017783069182919498
"Beta(1,5)",Common-clock Efficient betting,300000,30,0.0013253127360318233,0.0013258022104423435,0.7259036812735492,0.7261717774495101,0.0013253127360318233,0.0013258022104423435,0.0003693274781209066,0.0003693274781173539,0.0003693274781209066
"Beta(1,5)",Common-clock Efficient betting,1000000,30,0.00072547816869988,0.00072533841340578,0.7254781686999362,0.7253384134058202,0.00072547816869988,0.00072533841340578,-0.00019263886927212148,-0.00019263886929421492,-0.00019263886927212148
"Beta(1,5)",Common-clock Efficient betting,3000000,30,0.00041899642703954667,0.0004190321893086467,0.7257230998223895,0.7257850418894899,0.00041899642703954667,0.0004190321893086467,8.535220539385158e-05,8.535220542871258e-05,8.535220539385158e-05
