distribution,n,rep,method,width,sqrt_n_width
"Beta(1,5)",500,5,Gaffke,0.0319039045297543,0.7133929927619409
"Beta(1,5)",10,6,Gaffke,0.4348784857771019,1.3752065204607815
"Beta(1,5)",50,6,Gaffke,0.1274496886818476,0.9012053912704884
"Beta(1,5)",100,6,Gaffke,0.0883024442528286,0.8830244425282863
"Beta(1,5)",500,6,Gaffke,0.0364939815420953,0.8160302349774781
"Beta(1,5)",10,7,Gaffke,0.448103574293068,1.417027922428571
"Beta(1,5)",50,7,Gaffke,0.1362178955095085,0.9632059763373406
"Beta(1,5)",100,7,Gaffke,0.0896792176913849,0.8967921769138493
"Beta(1,5)",500,7,Gaffke,0.0328330802288863,0.7341699930249416
"Beta(1,5)",10,8,Gaffke,0.4534196687572732,1.4338388891920717
"Beta(1,5)",50,8,Gaffke,0.1450043315310813,1.0253354612704992
"Beta(1,5)",100,8,Gaffke,0.0876095022207361,0.8760950222073614
"Beta(1,5)",500,8,Gaffke,0.035252109305025,0.7882611275628891
"Beta(1,5)",10,9,Gaffke,0.4324293164284813,1.3674615669436698
"Beta(1,5)",50,9,Gaffke,0.1462186832082941,1.0339222243275237
"Beta(1,5)",100,9,Gaffke,0.0971565139923215,0.971565139923215
"Beta(1,5)",500,9,Gaffke,0.0366451058666594,0.8194094776052682
"Beta(1,5)",10,10,Gaffke,0.4739440798707749,1.49874277594441
"Beta(1,5)",50,10,Gaffke,0.1382644891511443,0.97767757876068
"Beta(1,5)",100,10,Gaffke,0.0916658315387397,0.916658315387397
"Beta(1,5)",500,10,Gaffke,0.0344788811052459,0.7709712193946306
"Beta(1,5)",10,11,Gaffke,0.4264337611222227,1.3485019563383842
"Beta(1,5)",50,11,Gaffke,0.1388239307559452,0.981633428285006
"Beta(1,5)",100,11,Gaffke,0.0850536427900396,0.8505364279003969
"Beta(1,5)",500,11,Gaffke,0.0342620124898812,0.7661218897332132
"Beta(1,5)",10,12,Gaffke,0.4389151653643431,1.3879716221407723
"Beta(1,5)",50,12,Gaffke,0.1428593989790755,1.010168497743389
"Beta(1,5)",100,12,Gaffke,0.0901800208961839,0.9018002089618392
"Beta(1,5)",500,12,Gaffke,0.0357347765770787,0.7990538958711526
"Beta(1,5)",10,13,Gaffke,0.4335917918871076,1.371137637116978
"Beta(1,5)",50,13,Gaffke,0.1404127526810163,0.9928680958581624
"Beta(1,5)",100,13,Gaffke,0.0854001902659462,0.8540019026594623
"Beta(1,5)",500,13,Gaffke,0.0346021564983668,0.7737277409843436
"Beta(1,5)",10,14,Gaffke,0.4336063353872444,1.371183627702561
"Beta(1,5)",50,14,Gaffke,0.1422711643434716,1.0060090507457458
"Beta(1,5)",100,14,Gaffke,0.0941091017086552,0.9410910170865524
"Beta(1,5)",500,14,Gaffke,0.0355798347061401,0.795589290311357
"Beta(1,5)",10,15,Gaffke,0.4397465235685625,1.390600607617573
"Beta(1,5)",50,15,Gaffke,0.1404520993879495,0.9931463190910608
"Beta(1,5)",100,15,Gaffke,0.0864071393576944,0.864071393576944
"Beta(1,5)",500,15,Gaffke,0.034566793623917,0.7729370030728475
"Beta(1,5)",10,16,Gaffke,0.4362379015713143,1.3795053706576998
"Beta(1,5)",50,16,Gaffke,0.1546656130482242,1.093651038027739
"Beta(1,5)",100,16,Gaffke,0.0938251311737569,0.938251311737569
"Beta(1,5)",500,16,Gaffke,0.0370319858929521,0.8280603779845419
"Beta(1,5)",10,17,Gaffke,0.4300883209077062,1.3600586891057684
"Beta(1,5)",50,17,Gaffke,0.141076661306807,0.9975626387720108
"Beta(1,5)",100,17,Gaffke,0.0909193270012674,0.9091932700126742
"Beta(1,5)",500,17,Gaffke,0.0363900035191231,0.8137052157021585
"Beta(1,5)",10,18,Gaffke,0.4254635001851473,1.3454337218525363
"Beta(1,5)",50,18,Gaffke,0.1373338120090519,0.9710966975779918
"Beta(1,5)",100,18,Gaffke,0.0857892518019138,0.8578925180191384
"Beta(1,5)",500,18,Gaffke,0.0359827765886802,0.8045993447147695
"Beta(1,5)",10,19,Gaffke,0.4244972965487853,1.3423783176780957
"Beta(1,5)",50,19,Gaffke,0.1269238171693503,0.8974869181452916
"Beta(1,5)",100,19,Gaffke,0.0822125277138179,0.8221252771381795
"Beta(1,5)",500,19,Gaffke,0.033967089543671,0.7595272121747074
