distribution,method,n,rep,width_c1,sqrt_n_width_c1,largest_component_width_c1,width_c05,sqrt_n_width_c05,largest_component_width_c05,width_relative_change,sqrt_n_width_relative_change,largest_component_width_relative_change
Bernoulli(0.1),Common-clock Efficient betting,10000,26,0.0153640544189753,1.53640544189753,0.0153640544189753,0.0153523123432876,1.5352312343287655,0.0153523123432876,-0.0007642563198160257,-0.000764256319812473,-0.0007642563198160257
Bernoulli(0.1),Common-clock Efficient betting,10000,27,0.0155149890339529,1.5514989033952902,0.0155149890339529,0.0155276159803738,1.5527615980373846,0.0155276159803738,0.0008138546790634749,0.0008138546790661394,0.0008138546790634749
Bernoulli(0.1),Common-clock Efficient betting,10000,28,0.0157043013320038,1.5704301332003818,0.0157043013320038,0.0157717389132168,1.5771738913216884,0.0157717389132168,0.0042942108526389244,0.004294210852642921,0.0042942108526389244
Bernoulli(0.1),Common-clock Efficient betting,10000,29,0.0156443745336235,1.564437453362355,0.0156443745336235,0.015604386072731,1.5604386072731014,0.015604386072731,-0.0025560920193105074,-0.00255609201931295,-0.0025560920193105074
Bernoulli(0.1),Common-clock Efficient betting,30000,0,0.0089773221547357,1.5549178087916,0.0089773221547357,0.0089961244792627,1.5581744669297115,0.0089961244792627,0.0020944246182679205,0.002094424618264812,0.0020944246182679205
Bernoulli(0.1),Common-clock Efficient betting,30000,1,0.0089746804805636,1.5544602574032826,0.0089746804805636,0.0089650076559979,1.552784875043234,0.0089650076559979,-0.001077790411218249,-0.001077790411217916,-0.001077790411218249
Bernoulli(0.1),Common-clock Efficient betting,30000,2,0.0089138487166038,1.543923886814047,0.0089138487166038,0.0089335471276542,1.5473357516908093,0.0089335471276542,0.0022098659823233113,0.0022098659823204247,0.0022098659823233113
Bernoulli(0.1),Common-clock Efficient betting,30000,3,0.0089348862375621,1.5475676923305577,0.0089348862375621,0.0089414494685314,1.548704477280614,0.0089414494685314,0.0007345623430221604,0.0007345623430172754,0.0007345623430221604
Bernoulli(0.1),Common-clock Efficient betting,30000,4,0.0089433007926219,1.5490251360192142,0.0089433007926219,0.0089525624633456,1.5506293044448676,0.0089525624633456,0.0010355987054959659,0.0010355987055030713,0.0010355987054959659
Bernoulli(0.1),Common-clock Efficient betting,30000,5,0.0090520992237542,1.5678695770697146,0.0090520992237542,0.0090332028732104,1.564596633147774,0.0090332028732104,-0.002087510319618735,-0.002087510319613184,-0.002087510319618735
Bernoulli(0.1),Common-clock Efficient betting,30000,6,0.0090766731298036,1.5721259024515208,0.0090766731298036,0.0090550972730061,1.5683888544324982,0.0090550972730061,-0.002377066628813096,-0.0023770666288209785,-0.002377066628813096
Bernoulli(0.1),Common-clock Efficient betting,30000,7,0.008843910649617,1.5318102582736184,0.008843910649617,0.0088507965328774,1.5330029282398172,0.0088507965328774,0.0007786016314736965,0.0007786016314730304,0.0007786016314736965
Bernoulli(0.1),Common-clock Efficient betting,30000,8,0.0089658583157846,1.552932213640302,0.0089658583157846,0.0089094405359908,1.5431603675349872,0.0089094405359908,-0.006292512976083464,-0.006292512976086906,-0.006292512976083464
Bernoulli(0.1),Common-clock Efficient betting,30000,9,0.0088079077516533,1.5255743734243363,0.0088079077516533,0.0088122678450656,1.5263295637559289,0.0088122678450656,0.0004950203311882007,0.0004950203311933077,0.0004950203311882007
Bernoulli(0.1),Common-clock Efficient betting,30000,10,0.0090710981794998,1.5711602927339328,0.0090710981794998,0.0090945687194309,1.5752255094980967,0.0090945687194309,0.0025873978504764583,0.002587397850470241,0.0025873978504764583
Bernoulli(0.1),Common-clock Efficient betting,30000,11,0.0086890514542378,1.504987858832019,0.0086890514542378,0.0087126195488536,1.5090699725632275,0.0087126195488536,0.002712389809166771,0.002712389809162108,0.002712389809166771
Bernoulli(0.1),Common-clock Efficient betting,30000,12,0.0089099930593538,1.5432560673886848,0.0089099930593538,0.0089196902079065,1.5449356627868742,0.0089196902079065,0.001088345242033606,0.001088345242038491,0.001088345242033606
Bernoulli(0.1),Common-clock Efficient betting,30000,13,0.0089010982949823,1.5417154490074214,0.0089010982949823,0.0089071411315709,1.5427620990067483,0.0089071411315709,0.0006788866259355153,0.000678886625933961,0.0006788866259355153
