distribution,n,method,calibration,mean,lo,hi,replications,noncoverage,empty_rate,sample_mean_exclusion_rate,poisson_round_fraction
"Beta(1,5)",100,PE-betting,Uniformly randomized,0.9139774506911635,0.7750971028581262,1.0571450348943472,120,0.016666666666666666,0.0,0.0,0.6038333333333333
"Beta(1,5)",500,PE-betting,Deterministic,0.8157937618776363,0.7469043497338257,0.8851191784920143,120,0.008333333333333333,0.0,0.0,0.8813166666666666
"Beta(1,5)",500,PE-betting,Uniformly randomized,0.7561338633886868,0.6764361992756981,0.8459726927523651,120,0.008333333333333333,0.0,0.0,0.8813166666666666
"Beta(1,5)",1000,PE-betting,Deterministic,0.7831544673489376,0.7420486445633205,0.8354199540662879,120,0.016666666666666666,0.0,0.0,0.9409333333333333
"Beta(1,5)",1000,PE-betting,Uniformly randomized,0.7473581602277501,0.7096771062990058,0.7967939587287786,120,0.025,0.0,0.0,0.9409333333333333
"Beta(1,5)",5000,PE-betting,Deterministic,0.7433555142157985,0.7213255579040161,0.7630254851845678,120,0.008333333333333333,0.0,0.0,0.9877466666666667
"Beta(1,5)",5000,PE-betting,Uniformly randomized,0.7284275444419955,0.7097115657429092,0.7511660403144453,120,0.008333333333333333,0.0,0.0,0.9877466666666667
"Beta(1,5)",10000,PE-betting,Deterministic,0.7381085911765695,0.7245871610939503,0.7511577289551497,120,0.0,0.0,0.0,0.9940391666666667
"Beta(1,5)",10000,PE-betting,Uniformly randomized,0.7290514077370366,0.7152627035975456,0.7418217603117228,120,0.0,0.0,0.0,0.9940391666666667
"Beta(2,2)",10,PE-betting,Deterministic,1.9723909454307271,1.7229246917741874,2.2464258349714674,120,0.0,0.0,0.0,0.06333333333333334
"Beta(2,2)",10,PE-betting,Uniformly randomized,1.5640433028191147,1.2549612829881913,1.8754821068395136,120,0.008333333333333333,0.0,0.0,0.06333333333333334
"Beta(2,2)",50,PE-betting,Deterministic,1.4466530454532296,1.3192583886738238,1.5746470841995956,120,0.008333333333333333,0.0,0.0,0.37633333333333335
"Beta(2,2)",50,PE-betting,Uniformly randomized,1.2583809332695661,1.0665788800579865,1.416110389192862,120,0.016666666666666666,0.0,0.0,0.37633333333333335
"Beta(2,2)",100,PE-betting,Deterministic,1.3251037111040205,1.2265656562522054,1.425397600978613,120,0.0,0.0,0.0,0.3416666666666667
"Beta(2,2)",100,PE-betting,Uniformly randomized,1.2275330205447972,1.135215220041573,1.3336389362812042,120,0.0,0.0,0.0,0.3416666666666667
"Beta(2,2)",500,PE-betting,Deterministic,1.2119274332179115,1.1724451871236024,1.2528286684859742,120,0.0,0.0,0.0,0.24806666666666669
"Beta(2,2)",500,PE-betting,Uniformly randomized,1.1611554044443833,1.1082905765990125,1.2047605982141278,120,0.0,0.0,0.0,0.24806666666666669
"Beta(2,2)",1000,PE-betting,Deterministic,1.190712877822907,1.157358436785153,1.2213271815811604,120,0.008333333333333333,0.0,0.0,0.15176666666666666
"Beta(2,2)",1000,PE-betting,Uniformly randomized,1.1598573497120934,1.1303906632937768,1.1892472112185857,120,0.008333333333333333,0.0,0.0,0.15176666666666666
"Beta(2,2)",5000,PE-betting,Deterministic,1.1682731267340853,1.154390833991515,1.1825906383710914,120,0.016666666666666666,0.0,0.0,0.02877
"Beta(2,2)",5000,PE-betting,Uniformly randomized,1.1538426873360634,1.1362471491286266,1.169966208444161,120,0.016666666666666666,0.0,0.0,0.02877
"Beta(2,2)",10000,PE-betting,Deterministic,1.163543660659343,1.1536201369017363,1.1732232570648193,120,0.008333333333333333,0.0,0.0,0.01398
"Beta(2,2)",10000,PE-betting,Uniformly randomized,1.1518716804372768,1.139131998643279,1.163048567250371,120,0.008333333333333333,0.0,0.0,0.01398
"Beta(20,80)",10,PE-betting,Deterministic,1.8514455314012064,1.83046029961469,1.8719247984926386,120,0.0,0.0,0.0,0.06833333333333334
"Beta(20,80)",10,PE-betting,Uniformly randomized,1.5414285412780837,1.3258113904510662,1.774960639021837,120,0.0,0.0,0.0,0.06833333333333334
"Beta(20,80)",50,PE-betting,Deterministic,1.0470041824244272,0.9969299939278498,1.092648194831107,120,0.0,0.0,0.0,0.7933333333333333
"Beta(20,80)",50,PE-betting,Uniformly randomized,0.8324471241783696,0.6300656855391003,0.9794590748415941,120,0.008333333333333333,0.0,0.008333333333333333,0.7933333333333333
"Beta(20,80)",100,PE-betting,Deterministic,0.7904703035019338,0.7470883838832378,0.8526796456426382,120,0.0,0.0,0.0,0.8929166666666667
"Beta(20,80)",100,PE-betting,Uniformly randomized,0.6282895305193961,0.5228260103613138,0.7378521477803588,120,0.0,0.0,0.0,0.8929166666666667
"Beta(20,80)",500,PE-betting,Deterministic,0.4034866659305932,0.38409596239357635,0.4212284305791699,120,0.0,0.0,0.0,0.9789833333333333
"Beta(20,80)",500,PE-betting,Uniformly randomized,0.3430882632745229,0.28747129428495793,0.3916778055763958,120,0.0,0.0,0.0,0.9789833333333333
