distribution,n,repetition,plus_violations,minus_violations,max_plus_increase,max_minus_decrease
"Uniform(0.45,0.55)",200,9,18,16,2.53923865023431e-06,0.00025099250065308
"Uniform(0.45,0.55)",1000,0,2,3,8.639371440466448e-10,5.0578257138056415e-09
"Uniform(0.45,0.55)",1000,1,1,5,5.936688918239952e-10,1.610643840521675e-09
"Uniform(0.45,0.55)",1000,2,2,4,5.938576297381815e-10,2.6416586695887645e-09
"Uniform(0.45,0.55)",1000,3,2,5,3.3759204320915615e-09,2.6344588732740704e-09
"Uniform(0.45,0.55)",1000,4,4,3,1.997855436641771e-09,9.649028243075009e-10
"Uniform(0.45,0.55)",1000,5,2,2,8.24234613894248e-09,1.1961343027167004e-09
"Uniform(0.45,0.55)",1000,6,3,3,7.049285155602547e-09,2.8793811779337375e-09
"Uniform(0.45,0.55)",1000,7,1,4,1.6407908365323465e-09,1.229405466318667e-09
"Uniform(0.45,0.55)",1000,8,2,3,9.785490195923785e-10,1.9104975379491407e-09
"Uniform(0.45,0.55)",1000,9,5,2,9.039315962411365e-09,2.9726872075030997e-09
"Uniform(0.45,0.55)",5000,0,0,0,0.0,2.220446049250313e-16
"Uniform(0.45,0.55)",5000,1,0,0,2.220446049250313e-16,-0.0
"Uniform(0.45,0.55)",5000,2,0,0,2.220446049250313e-16,2.220446049250313e-16
"Uniform(0.45,0.55)",5000,3,0,0,2.220446049250313e-16,-0.0
"Uniform(0.45,0.55)",5000,4,0,0,2.220446049250313e-16,-0.0
"Uniform(0.45,0.55)",5000,5,0,0,2.220446049250313e-16,2.220446049250313e-16
"Uniform(0.45,0.55)",5000,6,0,0,0.0,-0.0
"Uniform(0.45,0.55)",5000,7,0,0,0.0,-0.0
"Uniform(0.45,0.55)",5000,8,0,0,2.220446049250313e-16,2.220446049250313e-16
"Uniform(0.45,0.55)",5000,9,0,0,0.0,-0.0
