distribution,n,repetition,order_index,width,scaled_midpoint
"Beta(1,5)",200,0,3,0.05440417863428593,-0.00516892648797972
"Beta(1,5)",200,0,4,0.05254280474036932,0.03886480350352164
"Beta(1,5)",200,0,5,0.05851595476269722,0.0074834388969792325
"Beta(1,5)",200,0,6,0.05455481633543968,0.03669181077597614
"Beta(1,5)",200,0,7,0.05536917224526405,0.03399937789686911
"Beta(1,5)",200,1,0,0.055809590965509415,0.04509232368627095
"Beta(1,5)",200,1,1,0.05591003317385912,0.018236305717013714
"Beta(1,5)",200,1,2,0.0631766552105546,-0.019141007853035154
"Beta(1,5)",200,1,3,0.059936282224953175,0.01943423768970476
"Beta(1,5)",200,1,4,0.06494688708335161,-0.010525520302010273
"Beta(1,5)",200,1,5,0.05257509183138609,0.025071931855423543
"Beta(1,5)",200,1,6,0.05771051812916994,0.04053758620759451
"Beta(1,5)",200,1,7,0.058680339716374874,0.030022527023293475
"Beta(1,5)",200,2,0,0.05301630590111017,0.06007254828390573
"Beta(1,5)",200,2,1,0.0568150132894516,0.06255176420766319
"Beta(1,5)",200,2,2,0.053778642788529396,0.06111817866823561
"Beta(1,5)",200,2,3,0.05473150685429573,0.023001438153733584
"Beta(1,5)",200,2,4,0.05733294598758221,0.02043498483900365
"Beta(1,5)",200,2,5,0.05180335883051157,0.020052271698189492
"Beta(1,5)",200,2,6,0.05125830974429846,0.039491280681054515
"Beta(1,5)",200,2,7,0.05733641982078552,-0.0039234438147234055
"Beta(1,5)",200,3,0,0.056828937493264675,0.017819461153324587
"Beta(1,5)",200,3,1,0.05066736042499542,0.034459043530870634
"Beta(1,5)",200,3,2,0.0556987002491951,0.06974376607235361
"Beta(1,5)",200,3,3,0.04938895255327225,0.06839355226763665
"Beta(1,5)",200,3,4,0.05471501871943474,0.06171509436150197
"Beta(1,5)",200,3,5,0.05857878550887108,0.018325638218495345
"Beta(1,5)",200,3,6,0.05206533335149288,0.08037623057153781
"Beta(1,5)",200,3,7,0.04939313232898712,0.07180466793919538
"Beta(1,5)",200,4,0,0.04969423823058605,0.03637169090513531
"Beta(1,5)",200,4,1,0.05244291853159666,0.06989523494169471
"Beta(1,5)",200,4,2,0.057248455472290516,0.04651255851455549
"Beta(1,5)",200,4,3,0.05673534516245127,0.028199660640340917
"Beta(1,5)",200,4,4,0.05411008186638355,0.02759125112575092
"Beta(1,5)",200,4,5,0.053996218368411064,0.07251852723290864
"Beta(1,5)",200,4,6,0.04850618541240692,0.058596632916350755
"Beta(1,5)",200,4,7,0.057896762154996395,0.04531178162958996
"Beta(1,5)",200,5,0,0.05717883910983801,0.05143588013518262
"Beta(1,5)",200,5,1,0.06020437553524971,0.017935516865304212
"Beta(1,5)",200,5,2,0.05158563330769539,0.09418874105865759
"Beta(1,5)",200,5,3,0.05326431896537542,0.05057957471145269
"Beta(1,5)",200,5,4,0.053426265716552734,0.009308201854915961
"Beta(1,5)",200,5,5,0.056082796305418015,0.03812778222729003
"Beta(1,5)",200,5,6,0.05878949072211981,0.057813317346718386
"Beta(1,5)",200,5,7,0.05519780796021223,0.06734862035382305
"Beta(1,5)",200,6,0,0.058607885614037514,0.0681346613933511
"Beta(1,5)",200,6,1,0.05632870737463236,0.02898953118973818
"Beta(1,5)",200,6,2,0.05625039245933294,-0.015090145452085134
"Beta(1,5)",200,6,3,0.06049457471817732,0.0711669098240223
"Beta(1,5)",200,6,4,0.06619004532694817,0.0020858082563226755
"Beta(1,5)",200,6,5,0.06137153506278992,0.0194807082572995
"Beta(1,5)",200,6,6,0.06091372296214104,0.0433352449952985
"Beta(1,5)",200,6,7,0.05671291332691908,0.030853251659999754
"Beta(1,5)",200,7,0,0.052786801010370255,-0.015949611138806306
"Beta(1,5)",200,7,1,0.05066127609461546,0.016723106564329574
"Beta(1,5)",200,7,2,0.05324653256684542,-0.011749671099250637
"Beta(1,5)",200,7,3,0.05369708873331547,-0.001763548278316241
"Beta(1,5)",200,7,4,0.05215722415596247,0.03148344657756089
"Beta(1,5)",200,7,5,0.04937093425542116,0.020368729935180952
"Beta(1,5)",200,7,6,0.04595531988888979,0.049445261203679716
"Beta(1,5)",200,7,7,0.05374860670417547,0.007710411307869835
"Beta(1,5)",200,8,0,0.056406477466225624,0.026973918404447884
"Beta(1,5)",200,8,1,0.053665860556066036,0.04386149547281006
"Beta(1,5)",200,8,2,0.05823645647615194,0.009862923526307488
"Beta(1,5)",200,8,3,0.05350091680884361,0.031927674585956134
"Beta(1,5)",200,8,4,0.05677515268325806,-0.007237376589023266
"Beta(1,5)",200,8,5,0.05966880265623331,0.028766878267326716
"Beta(1,5)",200,8,6,0.052542329765856266,0.05938718274232873
"Beta(1,5)",200,8,7,0.058680432848632336,-0.0001511940216612528
"Beta(1,5)",200,9,0,0.046425155363976955,0.0465490583593099
"Beta(1,5)",200,9,1,0.045954286120831966,0.058454318170852615
"Beta(1,5)",200,9,2,0.04814235493540764,0.02359698442960534
"Beta(1,5)",200,9,3,0.04890826344490051,0.005564797737363479
"Beta(1,5)",200,9,4,0.039450022391974926,0.06634858094762498
"Beta(1,5)",200,9,5,0.045992689207196236,0.04765991099171039
"Beta(1,5)",200,9,6,0.048620665445923805,0.0012071033609205484
"Beta(1,5)",200,9,7,0.04636314790695906,0.027576799381922708
"Beta(1,5)",1000,0,0,0.024760138243436813,0.014159506081306747
"Beta(1,5)",1000,0,1,0.024519963189959526,0.006974785980598656
"Beta(1,5)",1000,0,2,0.02343963459134102,0.01746844437810311
"Beta(1,5)",1000,0,3,0.024944919161498547,0.02007937911380488
"Beta(1,5)",1000,0,4,0.023347705602645874,-0.0007671471483539766
"Beta(1,5)",1000,0,5,0.024385538883507252,0.022703139762498215
"Beta(1,5)",1000,0,6,0.023566266521811485,0.009119408217214275
"Beta(1,5)",1000,0,7,0.022778954356908798,0.017375408651029933
"Beta(1,5)",1000,1,0,0.023050145246088505,0.001532795471831344
"Beta(1,5)",1000,1,1,0.02292054146528244,0.02688909533806156
"Beta(1,5)",1000,1,2,0.024063865654170513,0.018429397023175427
"Beta(1,5)",1000,1,3,0.024310373701155186,0.013537172658808948
"Beta(1,5)",1000,1,4,0.02355220727622509,-0.008355953993663134
"Beta(1,5)",1000,1,5,0.02238437347114086,0.018598342717494918
"Beta(1,5)",1000,1,6,0.023341910913586617,0.025076238680894924
"Beta(1,5)",1000,1,7,0.02440563030540943,0.014925920108087872
"Beta(1,5)",1000,2,0,0.023899439722299576,0.004043344218110518
"Beta(1,5)",1000,2,1,0.023340076208114624,0.0006519725563005993
"Beta(1,5)",1000,2,2,0.024731731973588467,0.03511246182111618
"Beta(1,5)",1000,2,3,0.0232492471113801,0.011753808947450081
"Beta(1,5)",1000,2,4,0.024617038667201996,0.020708254707446153
"Beta(1,5)",1000,2,5,0.0233256658539176,-0.010127228067173462
"Beta(1,5)",1000,2,6,0.02385923732072115,0.019658488334017902
"Beta(1,5)",1000,2,7,0.023804860189557076,-0.011044523816867892
"Beta(1,5)",1000,3,0,0.023438437841832638,0.0138632417867331
"Beta(1,5)",1000,3,1,0.02341339271515608,0.02750512434281349
"Beta(1,5)",1000,3,2,0.02267992217093706,0.028270379275472383
"Beta(1,5)",1000,3,3,0.023253433406352997,0.03233896208833775
"Beta(1,5)",1000,3,4,0.02307986468076706,0.012853528781085638
"Beta(1,5)",1000,3,5,0.023628766648471355,0.02724153784160902
"Beta(1,5)",1000,3,6,0.02349721174687147,0.023303850023671392
"Beta(1,5)",1000,3,7,0.024359476752579212,0.03022401173998621
"Beta(1,5)",1000,4,0,0.022611862048506737,0.024454008225286688
"Beta(1,5)",1000,4,1,0.02245478704571724,0.023778932272146024
"Beta(1,5)",1000,4,2,0.023131776601076126,0.032702321946609124
"Beta(1,5)",1000,4,3,0.024263674393296242,0.014964069553765436
"Beta(1,5)",1000,4,4,0.022871749475598335,0.03134893042969846
"Beta(1,5)",1000,4,5,0.02297118678689003,0.03103451149261925
"Beta(1,5)",1000,4,6,0.021596213802695274,0.02658210844769273
"Beta(1,5)",1000,4,7,0.02165107987821102,0.022170259437644262
"Beta(1,5)",1000,5,0,0.02349667064845562,0.031713309825948235
"Beta(1,5)",1000,5,1,0.02431091107428074,-0.007758194434810158
"Beta(1,5)",1000,5,2,0.024147430434823036,0.014073217635173213
"Beta(1,5)",1000,5,3,0.024868839420378208,0.007793217704716611
"Beta(1,5)",1000,5,4,0.02557120192795992,-0.0038253218563079417
