distribution,n,repetition,width_range,width_sd,scaled_midpoint_range,scaled_midpoint_sd
"Beta(1,5)",5000,7,0.0004263315349817276,0.00014421065397508527,0.016126240348128436,0.005173633162435155
"Beta(1,5)",5000,8,0.00044651981443166733,0.00018887154214284737,0.01499874629601122,0.004560710463860887
"Beta(1,5)",5000,9,0.0004255184903740883,0.0001329585476513536,0.01123592175907416,0.004237350521831104
"Uniform(0.45,0.55)",50,0,8.246488869190216e-05,2.602624742447239e-05,0.009072003774848663,0.003483088789482815
"Uniform(0.45,0.55)",50,1,0.00012946873903274536,4.36257680916223e-05,0.005585837078437683,0.001666886576196362
"Uniform(0.45,0.55)",50,2,7.991865277290344e-05,2.7018159328964066e-05,0.007090871404258849,0.002390840221112082
"Uniform(0.45,0.55)",50,3,0.00011316873133182526,3.2452199952136303e-05,0.010814667300930315,0.0033944815258951425
"Uniform(0.45,0.55)",50,4,5.453452467918396e-05,1.8242216342109482e-05,0.008293765509817546,0.0025048156345977165
"Uniform(0.45,0.55)",50,5,0.00021011289209127426,8.45755694368218e-05,0.007467226297848434,0.0026343840623710207
"Uniform(0.45,0.55)",50,6,8.373986929655075e-05,3.540411219776446e-05,0.010939451607025419,0.003863190434967474
"Uniform(0.45,0.55)",50,7,0.00012529827654361725,3.980103867668078e-05,0.009440689917642783,0.003591227315635
"Uniform(0.45,0.55)",50,8,0.0002562766894698143,8.510213949463237e-05,0.007826610499467299,0.0028633883829696353
"Uniform(0.45,0.55)",50,9,3.186054527759552e-05,8.910461579519614e-06,0.007425784091961082,0.0024316235987166027
"Uniform(0.45,0.55)",200,0,0.00010964740067720413,3.3645865298430294e-05,0.00849810857792204,0.002896696835912127
"Uniform(0.45,0.55)",200,1,0.00014879275113344193,4.550316252721764e-05,0.009978648340768793,0.0034034067471440874
"Uniform(0.45,0.55)",200,2,8.196663111448288e-05,2.998368605729337e-05,0.011900887076009711,0.004236320131473143
"Uniform(0.45,0.55)",200,3,4.415493458509445e-05,1.4091933216795366e-05,0.011310962905758792,0.0035420965562791367
"Uniform(0.45,0.55)",200,4,0.00020835082978010178,7.581635256298715e-05,0.014507202089807839,0.005553502451387474
"Uniform(0.45,0.55)",200,5,5.146395415067673e-05,2.0980355654338583e-05,0.011207097265959757,0.003404773323217037
"Uniform(0.45,0.55)",200,6,6.287172436714172e-05,1.877072393355804e-05,0.01588211789901924,0.005386403620742446
"Uniform(0.45,0.55)",200,7,9.407475590705872e-05,3.60930268189064e-05,0.013849605885916615,0.004437898680275659
"Uniform(0.45,0.55)",200,8,7.38929957151413e-05,2.8946535666562397e-05,0.011322171333284656,0.003690113754588084
"Uniform(0.45,0.55)",200,9,4.397798329591751e-05,1.524296432152869e-05,0.015712792935126722,0.004414655260101452
"Uniform(0.45,0.55)",1000,0,0.00015779677778482437,4.913900055805833e-05,0.018181931794033115,0.005781314795996894
"Uniform(0.45,0.55)",1000,1,0.00014300644397735596,4.801452097377531e-05,0.010389460739262953,0.0032518794942183304
"Uniform(0.45,0.55)",1000,2,0.0001515476033091545,5.0991155964111e-05,0.015312049090527958,0.00465463295790755
"Uniform(0.45,0.55)",1000,3,0.00028631091117858887,0.00011275737246514232,0.0060858147242340635,0.0023206107842387103
"Uniform(0.45,0.55)",1000,4,0.000211324542760849,7.910547027348969e-05,0.013316478393867182,0.00461011072763654
