distribution,n,repetition,method,lower,upper,empty,width,scaled_width,normalized_width
"Beta(1,5)",50,82,Chronological GE,0.13117234548553824,0.2541470960713923,False,0.12297475058585405,0.8695628005398176,1.1983098951443625
"Beta(1,5)",50,82,Permutation-integrated GE (randomized),0.12698207661785582,0.25709615298131616,False,0.13011407636346034,0.9200454572442709,1.2678780356220463
"Beta(1,5)",50,83,Chronological GE,0.12373375846073031,0.24525301763787866,False,0.12151925917714834,0.8592709220892719,1.184127066969956
"Beta(1,5)",50,83,Permutation-integrated GE (randomized),0.1133525712671137,0.24954142081337405,False,0.13618884954626034,0.9630005903615516,1.3270727953676638
"Beta(1,5)",50,84,Chronological GE,0.11806949088349938,0.2356905690394342,False,0.11762107815593481,0.831706619745344,1.1461417987052893
"Beta(1,5)",50,84,Permutation-integrated GE (randomized),0.10731336104587522,0.2331851017441358,False,0.12587174069826057,0.8900476140749479,1.2265392015775436
"Beta(1,5)",50,85,Chronological GE,0.12208102038130164,0.2669738228432834,False,0.14489280246198177,1.024546831659902,1.4118872215493858
"Beta(1,5)",50,85,Permutation-integrated GE (randomized),0.12158853910751363,0.265804274471386,False,0.14421573536387236,1.0197592442959873,1.4052896379033448
"Beta(1,5)",50,86,Chronological GE,0.13677712669596076,0.2573193986900151,False,0.12054227199405432,0.8523625794662907,1.1746069548871634
"Beta(1,5)",50,86,Permutation-integrated GE (randomized),0.1374692705321276,0.2575226033462168,False,0.1200533328140892,0.8489052573688793,1.169842556873061
"Beta(1,5)",50,87,Chronological GE,0.09169595269486308,0.18091255286708474,False,0.08921660017222166,0.6308566297618684,0.8693584194169477
"Beta(1,5)",50,87,Permutation-integrated GE (randomized),0.09393907440932149,0.18639453308980408,False,0.09245545868048259,0.6537588179068189,0.9009190136115419
"Beta(1,5)",50,88,Chronological GE,0.08559607667848468,0.23536386201158166,False,0.14976778533309698,1.0590181661232403,1.4593907959440193
"Beta(1,5)",50,88,Permutation-integrated GE (randomized),0.09014504768764038,0.2364048190022201,False,0.14625977131457973,1.0342127611133303,1.4252074543176458
"Beta(1,5)",50,89,Chronological GE,0.07412218814715743,0.19583805045112967,False,0.12171586230397224,0.8606611161310685,1.1860428380625343
"Beta(1,5)",50,89,Permutation-integrated GE (randomized),0.08312565345714057,0.19632225388201213,False,0.11319660042487156,0.8004208376769071,1.103028107311563
"Beta(1,5)",50,90,Chronological GE,0.1059203133918345,0.23342548171058297,False,0.12750516831874847,0.9015976915451919,1.2424559037567138
"Beta(1,5)",50,90,Permutation-integrated GE (randomized),0.09678838716550717,0.23599501598692835,False,0.13920662882142118,0.9843395122574561,1.3564791145474873
"Beta(1,5)",50,91,Chronological GE,0.1290539470501244,0.27262922329828143,False,0.14357527624815702,1.015230514458037,1.3990487755137824
"Beta(1,5)",50,91,Permutation-integrated GE (randomized),0.13351818216323083,0.2777582946384637,False,0.14424011247523286,1.0199316165034749,1.4055271771837188
"Beta(1,5)",50,92,Chronological GE,0.11330747744068503,0.23728606989607215,False,0.12397859245538712,0.8766610344716758,1.208091688884061
"Beta(1,5)",50,92,Permutation-integrated GE (randomized),0.10779788498041512,0.23746502227822391,False,0.1296671372978088,0.916885120803277,1.2635229017238652
"Beta(1,5)",50,93,Chronological GE,0.14223316544666886,0.29437555046752095,False,0.1521423850208521,1.0758091215413912,1.482529743486402
"Beta(1,5)",50,93,Permutation-integrated GE (randomized),0.15887522813838684,0.30033743540336866,False,0.14146220726498182,1.0002888603868554,1.3784582765731588
