distribution,n,method,calibration,mean,lo,hi,replications,noncoverage,empty_rate,sample_mean_exclusion_rate,poisson_round_fraction
"Beta(50,50)",1000,PE-betting,Deterministic,0.3998993846257974,0.39202068789817696,0.40710362288969704,120,0.0,0.0,0.0,0.06066666666666667
"Beta(50,50)",1000,PE-betting,Uniformly randomized,0.3388627618345359,0.2737033604896811,0.39109882724259576,120,0.016666666666666666,0.0,0.0,0.06066666666666667
"Beta(50,50)",5000,PE-betting,Deterministic,0.28530029163319737,0.27984465593822005,0.2907275517428999,120,0.0,0.0,0.0,0.018571666666666667
"Beta(50,50)",5000,PE-betting,Uniformly randomized,0.26802614345077846,0.24785129933496425,0.2837894297372677,120,0.0,0.0,0.0,0.018571666666666667
"Beta(50,50)",10000,PE-betting,Deterministic,0.2732419059611857,0.2697588969022035,0.27686290442943573,120,0.008333333333333333,0.0,0.0,0.004885
"Beta(50,50)",10000,PE-betting,Uniformly randomized,0.2606960230817397,0.24521540850400925,0.27248228900134563,120,0.008333333333333333,0.0,0.0,0.004885
"Uniform(0,1)",10,PE-betting,Deterministic,2.320079135237436,2.044175311207738,2.5771504120773048,120,0.0,0.0,0.0,0.0875
"Uniform(0,1)",10,PE-betting,Uniformly randomized,1.9037268060664485,1.5582856772178224,2.188508173034138,120,0.008333333333333333,0.0,0.008333333333333333,0.0875
"Uniform(0,1)",50,PE-betting,Deterministic,1.8413980787548225,1.7094218272407071,1.962957987016141,120,0.0,0.0,0.0,0.4091666666666667
"Uniform(0,1)",50,PE-betting,Uniformly randomized,1.6236500837604584,1.3963502943227843,1.7777839075240782,120,0.008333333333333333,0.0,0.0,0.4091666666666667
"Uniform(0,1)",100,PE-betting,Deterministic,1.7117205270721267,1.611227571964264,1.8197210337966683,120,0.0,0.0,0.0,0.40191666666666664
"Uniform(0,1)",100,PE-betting,Uniformly randomized,1.5575129804201424,1.435161055997014,1.6920928796753287,120,0.0,0.0,0.0,0.40191666666666664
"Uniform(0,1)",500,PE-betting,Deterministic,1.561362686071007,1.5134709286287584,1.6139798893250525,120,0.008333333333333333,0.0,0.0,0.23426666666666665
"Uniform(0,1)",500,PE-betting,Uniformly randomized,1.5067002268864098,1.442491876219411,1.5663579031736925,120,0.008333333333333333,0.0,0.0,0.23426666666666665
"Uniform(0,1)",1000,PE-betting,Deterministic,1.5397384589550533,1.5086660337586801,1.5725743804321546,120,0.008333333333333333,0.0,0.0,0.15331666666666666
"Uniform(0,1)",1000,PE-betting,Uniformly randomized,1.4968028262862514,1.4366366311596046,1.5379831434274396,120,0.016666666666666666,0.0,0.0,0.15331666666666666
"Uniform(0,1)",5000,PE-betting,Deterministic,1.5071304230504505,1.49311635610062,1.5245419353854286,120,0.0,0.0,0.0,0.027483333333333335
"Uniform(0,1)",5000,PE-betting,Uniformly randomized,1.4898955521088488,1.471588048811729,1.5065944111751326,120,0.0,0.0,0.0,0.027483333333333335
"Uniform(0,1)",10000,PE-betting,Deterministic,1.5036929569517572,1.4925715513527393,1.5153059549629688,120,0.016666666666666666,0.0,0.0,0.013826666666666666
"Uniform(0,1)",10000,PE-betting,Uniformly randomized,1.4892691078906257,1.4762692712247372,1.5033241175115108,120,0.016666666666666666,0.0,0.0,0.013826666666666666
"Uniform(0.45,0.55)",10,PE-betting,Deterministic,1.8649181781705608,1.8644873001153157,1.8654607745419536,120,0.0,0.0,0.0,0.0
"Uniform(0.45,0.55)",10,PE-betting,Uniformly randomized,1.6145326755858984,1.39507444771333,1.8046080607156583,120,0.008333333333333333,0.0,0.008333333333333333,0.0
"Uniform(0.45,0.55)",50,PE-betting,Deterministic,1.3055650719730214,1.3046917476738142,1.3064261214416295,120,0.0,0.0,0.0,0.0
