distribution,n,rep,method,calibration,lower,upper,width,sqrt_n_width,empty,noncoverage,sample_mean_excluded,poisson_round_fraction,evaluations,solvency_c,third_moment_shrinkage,skewness_epsilon
"Beta(2,2)",10,37,PE-betting,Uniformly randomized,0.205941476393491,0.7975405822508037,0.5915991058573127,1.870800636228168,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,38,PE-betting,Deterministic,0.2029298287816345,0.8228441081009805,0.619914279319346,1.9603410767109488,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,38,PE-betting,Uniformly randomized,0.2230731318704784,0.8150508948601782,0.5919777629896998,1.87199805521878,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,39,PE-betting,Deterministic,0.1639299220405519,0.8221333879046142,0.6582034658640623,2.081422115947325,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,39,PE-betting,Uniformly randomized,0.2127912924624979,0.8163495543412864,0.6035582618787885,1.9086188081493491,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,40,PE-betting,Deterministic,0.2287766239605844,0.9013643800280988,0.6725877560675144,2.1269092355150803,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,40,PE-betting,Uniformly randomized,0.3416286422871053,0.757066645193845,0.4154380029067397,1.313730315776949,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,41,PE-betting,Deterministic,0.184508039150387,0.7953851432539523,0.6108771041035652,1.931763019415058,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,41,PE-betting,Uniformly randomized,0.1914685410447418,0.7763697193004191,0.5849011782556772,1.8496199294040911,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,42,PE-betting,Deterministic,0.1598724615760147,0.8178822440095246,0.6580097824335098,2.080809635161744,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,42,PE-betting,Uniformly randomized,0.2478645597584545,0.7849944452755153,0.5371298855170608,1.6985538375794005,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,43,PE-betting,Deterministic,0.1763658761046826,0.7908433084376156,0.614477432332933,1.943148256944061,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,43,PE-betting,Uniformly randomized,0.205479999538511,0.7574284453876317,0.5519484458491206,1.7454142398733308,False,False,False,0.0,61,0.5,10.0,0.05
