distribution,n,sampling_fraction,method,normalized_mean_width,normalized_standard_error,num_simulations
"Beta(2,2)",10,0.001,Stitched GE,2.0939561958284663,0.03355835518571551,40
"Beta(2,2)",20,0.002,Stitched GE,1.838791767856795,0.027086581456568996,40
"Beta(2,2)",40,0.004,Stitched GE,1.6744803545429654,0.02091080916317145,40
"Beta(2,2)",75,0.0075,Stitched GE,1.6181962467585707,0.01723033605557163,40
"Beta(2,2)",125,0.0125,Stitched GE,1.5844401810178208,0.015883071254795898,40
"Beta(2,2)",200,0.02,Stitched GE,1.5799225354914774,0.01584035697452252,40
"Beta(2,2)",350,0.035,Stitched GE,1.5602542018704635,0.019870891749532132,40
"Beta(2,2)",500,0.05,Stitched GE,1.5324842560955942,0.017063964680874028,40
"Beta(2,2)",1000,0.1,Stitched GE,1.5621108994653763,0.020457734250228364,40
"Beta(2,2)",2000,0.2,Stitched GE,1.5353666954097787,0.019884626106080983,40
"Beta(2,2)",5000,0.5,Stitched GE,1.580303169687824,0.019089863443532314,40
"Beta(2,2)",10000,1.0,Stitched GE,1.5238786802969997,0.018110965110989755,40
"Beta(2,2)",10,0.001,aGRAPA,1.8655019228395429,0.021945142401490047,40
"Beta(2,2)",20,0.002,aGRAPA,1.6188343647275385,0.01749920471834567,40
"Beta(2,2)",40,0.004,aGRAPA,1.4826382060022238,0.016622088174273592,40
"Beta(2,2)",75,0.0075,aGRAPA,1.4431260411647469,0.014403613838137102,40
"Beta(2,2)",125,0.0125,aGRAPA,1.4638603603910507,0.014487884925006621,40
"Beta(2,2)",200,0.02,aGRAPA,1.5305908037289355,0.012405876808857156,40
"Beta(2,2)",350,0.035,aGRAPA,1.5856483488261097,0.011057094462728618,40
"Beta(2,2)",500,0.05,aGRAPA,1.6141210980941814,0.01081720496049585,40
"Beta(2,2)",1000,0.1,aGRAPA,1.682060988791632,0.00964775324838532,40
"Beta(2,2)",2000,0.2,aGRAPA,1.7379305425610139,0.008685503279478653,40
"Beta(2,2)",5000,0.5,aGRAPA,1.8129170783620048,0.008643994368450246,40
"Beta(2,2)",10000,1.0,aGRAPA,1.8637566431536403,0.008095418743961512,40
"Beta(2,2)",10,0.001,PRECiSE-A-CO96,2.7944095839378305,0.005283778145583963,40
"Beta(2,2)",20,0.002,PRECiSE-A-CO96,3.0396026594219805,0.0256188122414964,40
"Beta(2,2)",40,0.004,PRECiSE-A-CO96,2.5704332770834433,0.024550098040873818,40
"Beta(2,2)",75,0.0075,PRECiSE-A-CO96,2.362748653347848,0.014616530613402883,40
"Beta(2,2)",125,0.0125,PRECiSE-A-CO96,2.2412964204387245,0.01329648617606457,40
"Beta(2,2)",200,0.02,PRECiSE-A-CO96,2.1909414320573277,0.009868573690237055,40
"Beta(2,2)",350,0.035,PRECiSE-A-CO96,2.136907575785069,0.007788453092075197,40
"Beta(2,2)",500,0.05,PRECiSE-A-CO96,2.1107811535961756,0.0067847598427836515,40
"Beta(2,2)",1000,0.1,PRECiSE-A-CO96,2.094617774914288,0.004896069856371216,40
"Beta(2,2)",2000,0.2,PRECiSE-A-CO96,2.0891386916805024,0.003168543115032124,40
"Beta(2,2)",5000,0.5,PRECiSE-A-CO96,2.1074009201665067,0.002138356686860947,40
"Beta(2,2)",10000,1.0,PRECiSE-A-CO96,2.127830913225867,0.0016995632100737768,40
"Beta(2,2)",10,0.001,Hedged-CS,1.8607400546982553,0.01523388443971362,40
"Beta(2,2)",20,0.002,Hedged-CS,1.6997063731397781,0.01672848788560232,40
"Beta(2,2)",40,0.004,Hedged-CS,1.5245816882859782,0.01818731278032491,40
"Beta(2,2)",75,0.0075,Hedged-CS,1.4624085605921464,0.017335701601116176,40
"Beta(2,2)",125,0.0125,Hedged-CS,1.4592751024678283,0.01616968142716206,40
"Beta(2,2)",200,0.02,Hedged-CS,1.4777099682699357,0.014733859042622314,40
"Beta(2,2)",350,0.035,Hedged-CS,1.510355169711613,0.01611992461477817,40
"Beta(2,2)",500,0.05,Hedged-CS,1.542997826717842,0.014827750023841466,40
"Beta(2,2)",1000,0.1,Hedged-CS,1.6414692825318256,0.01834235240888814,40
"Beta(2,2)",2000,0.2,Hedged-CS,1.7399439350149408,0.019922707704534148,40
"Beta(2,2)",5000,0.5,Hedged-CS,1.893342219165897,0.02978942955321017,40
"Beta(2,2)",10000,1.0,Hedged-CS,2.0057077895589774,0.04029525017587164,40
"Beta(1,5)",10,0.001,Stitched GE,3.0090989903390337,0.03288785115411719,40
"Beta(1,5)",20,0.002,Stitched GE,2.693399654617713,0.02525895988264795,40
"Beta(1,5)",40,0.004,Stitched GE,2.162090452901907,0.023252447480668455,40
"Beta(1,5)",75,0.0075,Stitched GE,1.915294769263177,0.021387669530374027,40
"Beta(1,5)",125,0.0125,Stitched GE,1.7521868748634368,0.01737106149433311,40
"Beta(1,5)",200,0.02,Stitched GE,1.6602739320939264,0.014298652587197284,40
"Beta(1,5)",350,0.035,Stitched GE,1.6254338185798098,0.011579585781646584,40
"Beta(1,5)",500,0.05,Stitched GE,1.6101171273181216,0.012753822948783963,40
"Beta(1,5)",1000,0.1,Stitched GE,1.588923834572928,0.014814762490125553,40
"Beta(1,5)",2000,0.2,Stitched GE,1.5582191606882425,0.015045055252952631,40
"Beta(1,5)",5000,0.5,Stitched GE,1.5742702704170304,0.019185517330388275,40
"Beta(1,5)",10000,1.0,Stitched GE,1.5115709164548492,0.026411695017124252,40
"Beta(1,5)",10,0.001,aGRAPA,3.0724582199340347,0.02060187345455259,40
"Beta(1,5)",20,0.002,aGRAPA,2.656363708199924,0.016878659365062883,40
"Beta(1,5)",40,0.004,aGRAPA,2.2263710476044745,0.01428204914364997,40
"Beta(1,5)",75,0.0075,aGRAPA,1.9299241112008112,0.013592349718038646,40
"Beta(1,5)",125,0.0125,aGRAPA,1.743971548480662,0.01302569092509141,40
"Beta(1,5)",200,0.02,aGRAPA,1.6371952108181933,0.0116673871361678,40
"Beta(1,5)",350,0.035,aGRAPA,1.560759928275928,0.008981987206018319,40
"Beta(1,5)",500,0.05,aGRAPA,1.540066487552877,0.008781815447570621,40
"Beta(1,5)",1000,0.1,aGRAPA,1.560704050255244,0.008788690641607753,40
