distribution,true_mean,true_variance,replication,n,sampling_fraction,method,lower,upper,width,normalized_width
"Uniform(0,1)",0.5,0.08333333333333333,2,75,0.0075,aGRAPA,0.3781014434149022,0.5885305972262601,0.2104291538113579,1.6104567900573394
"Uniform(0,1)",0.5,0.08333333333333333,2,125,0.0125,aGRAPA,0.42842507592455226,0.5922304140299797,0.1638053381054274,1.6184362353246868
"Uniform(0,1)",0.5,0.08333333333333333,2,200,0.02,aGRAPA,0.4483870578681183,0.5751500842536229,0.12676302638550463,1.5842369316205231
"Uniform(0,1)",0.5,0.08333333333333333,2,350,0.035,aGRAPA,0.46644067561142494,0.5639777621601362,0.09753708654871124,1.61256168834322
"Uniform(0,1)",0.5,0.08333333333333333,2,500,0.05,aGRAPA,0.4565993955182706,0.5406843466559638,0.08408495113769315,1.6615591816569666
"Uniform(0,1)",0.5,0.08333333333333333,2,1000,0.1,aGRAPA,0.47005194361713176,0.5316413887665068,0.06158944514937503,1.7211504231010757
"Uniform(0,1)",0.5,0.08333333333333333,2,2000,0.2,aGRAPA,0.47555228978176123,0.5201828146734642,0.04463052489170294,1.7638413868979808
"Uniform(0,1)",0.5,0.08333333333333333,2,5000,0.5,aGRAPA,0.48530837010769723,0.5145991164224802,0.02929074631478301,1.8303240065240833
"Uniform(0,1)",0.5,0.08333333333333333,2,10000,1.0,aGRAPA,0.49224890149757616,0.5134660228306511,0.021217121333074962,1.874990174774221
"Uniform(0,1)",0.5,0.08333333333333333,2,10,0.001,PRECiSE-A-CO96,0.048408627776494316,0.8071793438812045,0.7587707161047101,2.1204258877360256
"Uniform(0,1)",0.5,0.08333333333333333,2,20,0.002,PRECiSE-A-CO96,0.12801275925976993,0.7505398884264247,0.6225271291666548,2.4602872530747724
"Uniform(0,1)",0.5,0.08333333333333333,2,40,0.004,PRECiSE-A-CO96,0.2680315733084354,0.7097228564981282,0.44169128318969275,2.4686604566682346
"Uniform(0,1)",0.5,0.08333333333333333,2,75,0.0075,PRECiSE-A-CO96,0.32947586652220867,0.6424095694560676,0.31293370293385897,2.3949447954317535
"Uniform(0,1)",0.5,0.08333333333333333,2,125,0.0125,PRECiSE-A-CO96,0.399473359663734,0.6289385063902366,0.22946514672650264,2.267170975632344
"Uniform(0,1)",0.5,0.08333333333333333,2,200,0.02,PRECiSE-A-CO96,0.428995743094264,0.5988918368814963,0.16989609378723225,2.123297888906946
"Uniform(0,1)",0.5,0.08333333333333333,2,350,0.035,PRECiSE-A-CO96,0.45395582957333347,0.5792031863263297,0.12524735675299625,2.0706901980845136
"Uniform(0,1)",0.5,0.08333333333333333,2,500,0.05,PRECiSE-A-CO96,0.44699093845570725,0.5516138885520818,0.10462295009637457,2.067399944848668
"Uniform(0,1)",0.5,0.08333333333333333,2,1000,0.1,PRECiSE-A-CO96,0.4643065583086809,0.5382338982069679,0.07392733989828698,2.065939578381878
"Uniform(0,1)",0.5,0.08333333333333333,2,2000,0.2,PRECiSE-A-CO96,0.4720065179778847,0.5240976883065768,0.052091170328692094,2.058693289864944
"Uniform(0,1)",0.5,0.08333333333333333,2,5000,0.5,PRECiSE-A-CO96,0.4833717270444361,0.5166926306881259,0.03332090364368978,2.082161007530921
"Uniform(0,1)",0.5,0.08333333333333333,2,10000,1.0,PRECiSE-A-CO96,0.49099369838531925,0.514812478828246,0.023818780442926735,2.1049028567307295
"Uniform(0,1)",0.5,0.08333333333333333,2,10,0.001,Hedged-CS,0.1444372534751892,0.6877011656761169,0.5432639122009277,1.5181804448349712
