distribution,replication,n,component_count,topology_uncertain
"Uniform(0,1)",31,200,1,0
"Uniform(0,1)",31,350,1,0
"Uniform(0,1)",31,500,1,0
"Uniform(0,1)",31,1000,1,0
"Uniform(0,1)",31,2000,1,0
"Uniform(0,1)",31,5000,1,0
"Uniform(0,1)",31,10000,1,0
"Uniform(0,1)",32,10,1,0
"Uniform(0,1)",32,20,1,0
"Uniform(0,1)",32,40,1,0
"Uniform(0,1)",32,75,1,0
"Uniform(0,1)",32,125,1,0
"Uniform(0,1)",32,200,1,0
"Uniform(0,1)",32,350,1,0
"Uniform(0,1)",32,500,1,0
"Uniform(0,1)",32,1000,1,0
"Uniform(0,1)",32,2000,1,0
"Uniform(0,1)",32,5000,1,0
"Uniform(0,1)",32,10000,1,0
"Uniform(0,1)",33,10,1,0
"Uniform(0,1)",33,20,1,0
"Uniform(0,1)",33,40,1,0
"Uniform(0,1)",33,75,1,0
"Uniform(0,1)",33,125,1,0
"Uniform(0,1)",33,200,1,0
"Uniform(0,1)",33,350,1,0
"Uniform(0,1)",33,500,1,0
"Uniform(0,1)",33,1000,1,0
"Uniform(0,1)",33,2000,1,0
"Uniform(0,1)",33,5000,1,0
"Uniform(0,1)",33,10000,1,0
"Uniform(0,1)",34,10,1,0
"Uniform(0,1)",34,20,1,0
"Uniform(0,1)",34,40,1,0
"Uniform(0,1)",34,75,1,0
"Uniform(0,1)",34,125,1,0
"Uniform(0,1)",34,200,1,0
"Uniform(0,1)",34,350,1,0
"Uniform(0,1)",34,500,1,0
"Uniform(0,1)",34,1000,1,0
"Uniform(0,1)",34,2000,1,0
"Uniform(0,1)",34,5000,1,0
"Uniform(0,1)",34,10000,1,0
"Uniform(0,1)",35,10,1,0
"Uniform(0,1)",35,20,1,0
"Uniform(0,1)",35,40,1,0
"Uniform(0,1)",35,75,1,0
"Uniform(0,1)",35,125,1,0
"Uniform(0,1)",35,200,1,0
"Uniform(0,1)",35,350,1,0
"Uniform(0,1)",35,500,1,0
"Uniform(0,1)",35,1000,1,0
"Uniform(0,1)",35,2000,1,0
"Uniform(0,1)",35,5000,1,0
"Uniform(0,1)",35,10000,1,0
"Uniform(0,1)",36,10,1,0
"Uniform(0,1)",36,20,1,0
"Uniform(0,1)",36,40,1,0
"Uniform(0,1)",36,75,1,0
"Uniform(0,1)",36,125,1,0
"Uniform(0,1)",36,200,1,0
"Uniform(0,1)",36,350,1,0
"Uniform(0,1)",36,500,1,0
"Uniform(0,1)",36,1000,1,0
"Uniform(0,1)",36,2000,1,0
"Uniform(0,1)",36,5000,1,0
"Uniform(0,1)",36,10000,1,0
"Uniform(0,1)",37,10,1,0
"Uniform(0,1)",37,20,1,0
"Uniform(0,1)",37,40,1,0
"Uniform(0,1)",37,75,1,0
"Uniform(0,1)",37,125,1,0
"Uniform(0,1)",37,200,1,0
"Uniform(0,1)",37,350,1,0
"Uniform(0,1)",37,500,1,0
"Uniform(0,1)",37,1000,1,0
"Uniform(0,1)",37,2000,1,0
"Uniform(0,1)",37,5000,1,0
"Uniform(0,1)",37,10000,1,0
"Uniform(0,1)",38,10,1,0
"Uniform(0,1)",38,20,1,0
"Uniform(0,1)",38,40,1,0
"Uniform(0,1)",38,75,1,0
"Uniform(0,1)",38,125,1,0
"Uniform(0,1)",38,200,1,0
"Uniform(0,1)",38,350,1,0
"Uniform(0,1)",38,500,1,0
"Uniform(0,1)",38,1000,1,0
"Uniform(0,1)",38,2000,1,0
"Uniform(0,1)",38,5000,1,0
"Uniform(0,1)",38,10000,1,0
"Uniform(0,1)",39,10,1,0
"Uniform(0,1)",39,20,1,0
"Uniform(0,1)",39,40,1,0
"Uniform(0,1)",39,75,1,0
"Uniform(0,1)",39,125,1,0
"Uniform(0,1)",39,200,1,0
"Uniform(0,1)",39,350,1,0
"Uniform(0,1)",39,500,1,0
"Uniform(0,1)",39,1000,1,0
"Uniform(0,1)",39,2000,1,0
"Uniform(0,1)",39,5000,1,0
"Uniform(0,1)",39,10000,1,0
"Beta(0.5,0.5)",0,10,1,0
"Beta(0.5,0.5)",0,20,1,0
"Beta(0.5,0.5)",0,40,1,0
"Beta(0.5,0.5)",0,75,1,0
"Beta(0.5,0.5)",0,125,1,0
"Beta(0.5,0.5)",0,200,1,0
"Beta(0.5,0.5)",0,350,1,0
"Beta(0.5,0.5)",0,500,1,0
"Beta(0.5,0.5)",0,1000,1,0
"Beta(0.5,0.5)",0,2000,1,0
"Beta(0.5,0.5)",0,5000,1,0
"Beta(0.5,0.5)",0,10000,1,0
"Beta(0.5,0.5)",1,10,1,0
"Beta(0.5,0.5)",1,20,1,0
"Beta(0.5,0.5)",1,40,1,0
"Beta(0.5,0.5)",1,75,1,0
"Beta(0.5,0.5)",1,125,1,0
"Beta(0.5,0.5)",1,200,1,0
"Beta(0.5,0.5)",1,350,1,0
"Beta(0.5,0.5)",1,500,1,0
"Beta(0.5,0.5)",1,1000,1,0
"Beta(0.5,0.5)",1,2000,1,0
"Beta(0.5,0.5)",1,5000,1,0
"Beta(0.5,0.5)",1,10000,1,0
"Beta(0.5,0.5)",2,10,1,0
"Beta(0.5,0.5)",2,20,1,0
"Beta(0.5,0.5)",2,40,1,0
"Beta(0.5,0.5)",2,75,1,0
"Beta(0.5,0.5)",2,125,1,0
"Beta(0.5,0.5)",2,200,1,0
"Beta(0.5,0.5)",2,350,1,0
"Beta(0.5,0.5)",2,500,1,0
"Beta(0.5,0.5)",2,1000,1,0
"Beta(0.5,0.5)",2,2000,1,0
"Beta(0.5,0.5)",2,5000,1,0
"Beta(0.5,0.5)",2,10000,1,0
"Beta(0.5,0.5)",3,10,1,0
"Beta(0.5,0.5)",3,20,1,0
"Beta(0.5,0.5)",3,40,1,0
"Beta(0.5,0.5)",3,75,1,0
"Beta(0.5,0.5)",3,125,1,0
"Beta(0.5,0.5)",3,200,1,0
"Beta(0.5,0.5)",3,350,1,0
"Beta(0.5,0.5)",3,500,1,0
"Beta(0.5,0.5)",3,1000,1,0
"Beta(0.5,0.5)",3,2000,1,0
"Beta(0.5,0.5)",3,5000,1,0
"Beta(0.5,0.5)",3,10000,1,0
"Beta(0.5,0.5)",4,10,1,0
"Beta(0.5,0.5)",4,20,1,0
"Beta(0.5,0.5)",4,40,1,0
"Beta(0.5,0.5)",4,75,1,0
"Beta(0.5,0.5)",4,125,1,0
"Beta(0.5,0.5)",4,200,1,0
"Beta(0.5,0.5)",4,350,1,0
"Beta(0.5,0.5)",4,500,1,0
"Beta(0.5,0.5)",4,1000,1,0
"Beta(0.5,0.5)",4,2000,1,0
"Beta(0.5,0.5)",4,5000,1,0
"Beta(0.5,0.5)",4,10000,1,0
"Beta(0.5,0.5)",5,10,1,0
"Beta(0.5,0.5)",5,20,1,0
"Beta(0.5,0.5)",5,40,1,0
"Beta(0.5,0.5)",5,75,1,0
"Beta(0.5,0.5)",5,125,1,0
"Beta(0.5,0.5)",5,200,1,0
"Beta(0.5,0.5)",5,350,1,0
"Beta(0.5,0.5)",5,500,1,0
"Beta(0.5,0.5)",5,1000,1,0
"Beta(0.5,0.5)",5,2000,1,0
"Beta(0.5,0.5)",5,5000,1,0
"Beta(0.5,0.5)",5,10000,1,0
"Beta(0.5,0.5)",6,10,1,0
"Beta(0.5,0.5)",6,20,1,0
"Beta(0.5,0.5)",6,40,1,0
"Beta(0.5,0.5)",6,75,1,0
"Beta(0.5,0.5)",6,125,1,0
"Beta(0.5,0.5)",6,200,1,0
"Beta(0.5,0.5)",6,350,1,0
"Beta(0.5,0.5)",6,500,1,0
"Beta(0.5,0.5)",6,1000,1,0
"Beta(0.5,0.5)",6,2000,1,0
