distribution,replication,method,simultaneously_covered
Bernoulli(0.1),22,PRECiSE-A-CO96,0
Bernoulli(0.1),22,Hedged-CS,0
Bernoulli(0.1),23,Stitched GE,1
Bernoulli(0.1),23,aGRAPA,1
Bernoulli(0.1),23,PRECiSE-A-CO96,1
Bernoulli(0.1),23,Hedged-CS,1
Bernoulli(0.1),24,Stitched GE,1
Bernoulli(0.1),24,aGRAPA,1
Bernoulli(0.1),24,PRECiSE-A-CO96,1
Bernoulli(0.1),24,Hedged-CS,1
Bernoulli(0.1),25,Stitched GE,1
Bernoulli(0.1),25,aGRAPA,1
Bernoulli(0.1),25,PRECiSE-A-CO96,1
Bernoulli(0.1),25,Hedged-CS,1
Bernoulli(0.1),26,Stitched GE,1
Bernoulli(0.1),26,aGRAPA,1
Bernoulli(0.1),26,PRECiSE-A-CO96,1
Bernoulli(0.1),26,Hedged-CS,1
Bernoulli(0.1),27,Stitched GE,1
Bernoulli(0.1),27,aGRAPA,1
Bernoulli(0.1),27,PRECiSE-A-CO96,1
Bernoulli(0.1),27,Hedged-CS,1
Bernoulli(0.1),28,Stitched GE,1
Bernoulli(0.1),28,aGRAPA,1
Bernoulli(0.1),28,PRECiSE-A-CO96,1
Bernoulli(0.1),28,Hedged-CS,1
Bernoulli(0.1),29,Stitched GE,1
Bernoulli(0.1),29,aGRAPA,1
Bernoulli(0.1),29,PRECiSE-A-CO96,1
Bernoulli(0.1),29,Hedged-CS,1
Bernoulli(0.1),30,Stitched GE,1
Bernoulli(0.1),30,aGRAPA,1
Bernoulli(0.1),30,PRECiSE-A-CO96,1
Bernoulli(0.1),30,Hedged-CS,1
Bernoulli(0.1),31,Stitched GE,1
Bernoulli(0.1),31,aGRAPA,1
Bernoulli(0.1),31,PRECiSE-A-CO96,1
Bernoulli(0.1),31,Hedged-CS,1
Bernoulli(0.1),32,Stitched GE,1
Bernoulli(0.1),32,aGRAPA,1
Bernoulli(0.1),32,PRECiSE-A-CO96,1
Bernoulli(0.1),32,Hedged-CS,1
Bernoulli(0.1),33,Stitched GE,1
Bernoulli(0.1),33,aGRAPA,1
Bernoulli(0.1),33,PRECiSE-A-CO96,1
Bernoulli(0.1),33,Hedged-CS,1
Bernoulli(0.1),34,Stitched GE,1
Bernoulli(0.1),34,aGRAPA,1
Bernoulli(0.1),34,PRECiSE-A-CO96,1
Bernoulli(0.1),34,Hedged-CS,1
Bernoulli(0.1),35,Stitched GE,1
Bernoulli(0.1),35,aGRAPA,1
Bernoulli(0.1),35,PRECiSE-A-CO96,1
Bernoulli(0.1),35,Hedged-CS,1
Bernoulli(0.1),36,Stitched GE,1
Bernoulli(0.1),36,aGRAPA,1
Bernoulli(0.1),36,PRECiSE-A-CO96,1
Bernoulli(0.1),36,Hedged-CS,1
Bernoulli(0.1),37,Stitched GE,1
Bernoulli(0.1),37,aGRAPA,1
Bernoulli(0.1),37,PRECiSE-A-CO96,1
Bernoulli(0.1),37,Hedged-CS,1
Bernoulli(0.1),38,Stitched GE,1
Bernoulli(0.1),38,aGRAPA,1
Bernoulli(0.1),38,PRECiSE-A-CO96,1
Bernoulli(0.1),38,Hedged-CS,1
Bernoulli(0.1),39,Stitched GE,1
Bernoulli(0.1),39,aGRAPA,1
