distribution,n,rep,method,lower,upper,width,sqrt_n_width,backend
"Beta(20,80)",1000,114,Randomized Gaffke,0.1976851486488794,0.2063670603510539,0.0086819117021745,0.27454615423340845,bspline-exact+product-orthant
"Beta(20,80)",1000,115,Gaffke,0.1958402411328813,0.2045846295137503,0.008744388380869023,0.27652184028658056,bspline-exact
"Beta(20,80)",1000,115,Randomized Gaffke,0.1958402411328813,0.20458462951375034,0.00874438838086905,0.27652184028658144,bspline-exact+product-orthant
"Beta(20,80)",1000,116,Gaffke,0.1979246729110061,0.20644092801350727,0.008516255102501175,0.26930763258934437,bspline-exact
"Beta(20,80)",1000,116,Randomized Gaffke,0.1979246729110061,0.20644092801350733,0.00851625510250123,0.2693076325893461,bspline-exact+product-orthant
"Beta(20,80)",1000,117,Gaffke,0.19729622329812288,0.2063485580059919,0.009052334707869009,0.2862599581906102,bspline-exact
"Beta(20,80)",1000,117,Randomized Gaffke,0.19729622329812288,0.20634855800599183,0.009052334707868953,0.2862599581906084,bspline-exact+product-orthant
"Beta(20,80)",1000,118,Gaffke,0.19878139805752099,0.20741258541008872,0.008631187352567737,0.2729421094575281,bspline-exact
"Beta(20,80)",1000,118,Randomized Gaffke,0.19878139805752099,0.20741258541008878,0.008631187352567793,0.2729421094575299,bspline-exact+product-orthant
"Beta(20,80)",1000,119,Gaffke,0.1989183448984287,0.20774494845208416,0.008826603553655471,0.2791217123288752,bspline-exact
"Beta(20,80)",1000,119,Randomized Gaffke,0.1989183448984287,0.20774494845208413,0.008826603553655443,0.27912171232887434,bspline-exact+product-orthant
"Uniform(0.45,0.55)",1000,0,Gaffke,0.4961512242630406,0.5030482137003413,0.00689698943730066,0.21810195619993158,bspline-exact
"Uniform(0.45,0.55)",1000,0,Randomized Gaffke,0.4961512242630406,0.5030482137003413,0.00689698943730066,0.21810195619993158,bspline-exact+product-orthant
"Uniform(0.45,0.55)",3000,0,Gaffke,0.4981332997961367,0.5013709822593613,0.0032376824632245893,0.1773351719146998,bspline-exact
"Uniform(0.45,0.55)",3000,0,Randomized Gaffke,0.4981332997961367,0.5013709822593613,0.0032376824632245893,0.1773351719146998,bspline-exact+product-orthant
"Uniform(0.45,0.55)",10000,0,Gaffke,0.49928584478100013,0.5008925589112508,0.0016067141302507082,0.16067141302507082,cornish-fisher-moments
"Uniform(0.45,0.55)",10000,0,Randomized Gaffke,0.49928584478100013,0.5008925589112508,0.0016067141302507082,0.16067141302507082,cornish-fisher-moments+product-orthant
"Uniform(0.45,0.55)",30000,0,Gaffke,0.49977004053652,0.5006670824139621,0.0008970418774420508,0.15537221082466057,cornish-fisher-moments
"Uniform(0.45,0.55)",30000,0,Randomized Gaffke,0.49977004053652,0.5006670824139621,0.0008970418774420508,0.15537221082466057,cornish-fisher-moments+product-orthant
"Uniform(0.45,0.55)",100000,0,Gaffke,0.49976394485879816,0.5002440677845218,0.00048012292572363613,0.15182820021505367,cornish-fisher-moments
"Uniform(0.45,0.55)",100000,0,Randomized Gaffke,0.49976394485879816,0.5002440677845218,0.00048012292572363613,0.15182820021505367,cornish-fisher-moments+product-orthant
"Uniform(0.45,0.55)",300000,0,Gaffke,0.49989632979181986,0.5001711388740367,0.00027480908221688694,0.1505191333374808,cornish-fisher-moments
"Uniform(0.45,0.55)",300000,0,Randomized Gaffke,0.49989632979181986,0.5001711388740367,0.00027480908221688694,0.1505191333374808,cornish-fisher-moments+product-orthant
"Uniform(0.45,0.55)",1000000,0,Gaffke,0.4999639780482376,0.5001136674187243,0.00014968937048670528,0.14968937048670528,cornish-fisher-moments
"Uniform(0.45,0.55)",1000000,0,Randomized Gaffke,0.4999639780482376,0.5001136674187243,0.00014968937048670528,0.14968937048670528,cornish-fisher-moments+product-orthant
"Uniform(0.45,0.55)",1000,1,Gaffke,0.49702138143328556,0.504003122504261,0.006981741070975489,0.22078203817825845,bspline-exact
"Uniform(0.45,0.55)",1000,1,Randomized Gaffke,0.49702138143328556,0.504003122504261,0.006981741070975489,0.22078203817825845,bspline-exact+product-orthant
"Uniform(0.45,0.55)",3000,1,Gaffke,0.49861120857827074,0.5018790023001047,0.0032677937218340003,0.1789844334722244,bspline-exact
"Uniform(0.45,0.55)",3000,1,Randomized Gaffke,0.49861120857827074,0.5018790023001047,0.0032677937218340003,0.1789844334722244,bspline-exact+product-orthant
"Uniform(0.45,0.55)",10000,1,Gaffke,0.49959269904758913,0.501207691804285,0.00161499275669591,0.161499275669591,cornish-fisher-moments
"Uniform(0.45,0.55)",10000,1,Randomized Gaffke,0.49959269904758913,0.501207691804285,0.00161499275669591,0.161499275669591,cornish-fisher-moments+product-orthant
"Uniform(0.45,0.55)",30000,1,Gaffke,0.49967110331486714,0.5005668857776613,0.000895782462794148,0.15515407380886417,cornish-fisher-moments
"Uniform(0.45,0.55)",30000,1,Randomized Gaffke,0.49967110331486714,0.5005668857776613,0.000895782462794148,0.15515407380886417,cornish-fisher-moments+product-orthant
"Uniform(0.45,0.55)",100000,1,Gaffke,0.49971971994616743,0.5002008486355928,0.0004811286894253475,0.1521462506235867,cornish-fisher-moments
"Uniform(0.45,0.55)",100000,1,Randomized Gaffke,0.49971971994616743,0.5002008486355928,0.0004811286894253475,0.1521462506235867,cornish-fisher-moments+product-orthant
"Uniform(0.45,0.55)",300000,1,Gaffke,0.4998032280627641,0.5000783349933414,0.00027510693057730684,0.1506822716031987,cornish-fisher-moments
"Uniform(0.45,0.55)",300000,1,Randomized Gaffke,0.4998032280627641,0.5000783349933414,0.00027510693057730684,0.1506822716031987,cornish-fisher-moments+product-orthant
"Uniform(0.45,0.55)",1000000,1,Gaffke,0.4999275192016735,0.5000772683693596,0.00014974916768611957,0.14974916768611957,cornish-fisher-moments
"Uniform(0.45,0.55)",1000000,1,Randomized Gaffke,0.4999275192016735,0.5000772683693596,0.00014974916768611957,0.14974916768611957,cornish-fisher-moments+product-orthant
"Uniform(0.45,0.55)",1000,2,Gaffke,0.49694795674586856,0.503913128987798,0.006965172241929496,0.2202580857987855,bspline-exact
"Uniform(0.45,0.55)",1000,2,Randomized Gaffke,0.49694795674586856,0.503913128987798,0.006965172241929496,0.2202580857987855,bspline-exact+product-orthant
"Uniform(0.45,0.55)",3000,2,Gaffke,0.4978481113431179,0.5011238353722363,0.0032757240291183543,0.17941879429098323,bspline-exact
"Uniform(0.45,0.55)",3000,2,Randomized Gaffke,0.4978481113431179,0.5011238353722363,0.0032757240291183543,0.17941879429098323,bspline-exact+product-orthant
"Uniform(0.45,0.55)",10000,2,Gaffke,0.4990741801230447,0.5006879085946008,0.001613728471556053,0.1613728471556053,cornish-fisher-moments
"Uniform(0.45,0.55)",10000,2,Randomized Gaffke,0.4990741801230447,0.5006879085946008,0.001613728471556053,0.1613728471556053,cornish-fisher-moments+product-orthant
"Uniform(0.45,0.55)",30000,2,Gaffke,0.49924041267954955,0.5001370207825787,0.0008966081030291617,0.15529707889244587,cornish-fisher-moments
"Uniform(0.45,0.55)",30000,2,Randomized Gaffke,0.49924041267954955,0.5001370207825787,0.0008966081030291617,0.15529707889244587,cornish-fisher-moments+product-orthant
"Uniform(0.45,0.55)",100000,2,Gaffke,0.49962333855318714,0.5001043641903742,0.00048102563718704916,0.15211366264448656,cornish-fisher-moments
"Uniform(0.45,0.55)",100000,2,Randomized Gaffke,0.49962333855318714,0.5001043641903742,0.00048102563718704916,0.15211366264448656,cornish-fisher-moments+product-orthant
"Uniform(0.45,0.55)",300000,2,Gaffke,0.4997887658776438,0.5000638168106019,0.00027505093295804306,0.15065160044396134,cornish-fisher-moments
"Uniform(0.45,0.55)",300000,2,Randomized Gaffke,0.4997887658776438,0.5000638168106019,0.00027505093295804306,0.15065160044396134,cornish-fisher-moments+product-orthant
"Uniform(0.45,0.55)",1000000,2,Gaffke,0.4998906775494088,0.500040464086559,0.0001497865371501983,0.1497865371501983,cornish-fisher-moments
"Uniform(0.45,0.55)",1000000,2,Randomized Gaffke,0.4998906775494088,0.500040464086559,0.0001497865371501983,0.1497865371501983,cornish-fisher-moments+product-orthant
"Uniform(0.45,0.55)",1000,3,Gaffke,0.49819275712586053,0.5050934332197385,0.006900676093878011,0.2182185385172843,bspline-exact
"Uniform(0.45,0.55)",1000,3,Randomized Gaffke,0.49819275712586053,0.5050934332197385,0.006900676093878011,0.2182185385172843,bspline-exact+product-orthant
"Uniform(0.45,0.55)",3000,3,Gaffke,0.49943268142341285,0.5026600203054175,0.0032273388820046045,0.17676863063874257,bspline-exact
