distribution,n,rep,method,calibration,width_c1,width_c05,difference_c05_minus_c1,relative_change,c05_narrower,c05_wider
"Beta(2,2)",10,4,STaR betting,Deterministic,0.5505615234374999,0.6355834960937501,0.08502197265625022,0.15442774156356753,False,True
"Beta(2,2)",10,4,STaR betting,Uniformly randomized,0.41887207031249984,0.52822265625,0.10935058593750013,0.26105962580870834,False,True
"Beta(2,2)",10,4,Efficient betting,Deterministic,0.630891022272408,0.7002685546874999,0.06937753241509192,0.10996753791994185,False,True
"Beta(2,2)",10,4,Efficient betting,Uniformly randomized,0.4243476729567747,0.5314880371093751,0.10714036415260036,0.2524825066343983,False,True
"Beta(2,2)",10,5,STaR betting,Deterministic,0.6584413660897845,0.7246706141366595,0.06622924804687491,0.10058488341973937,False,True
"Beta(2,2)",10,5,STaR betting,Uniformly randomized,0.5281293481023099,0.5914896078189749,0.06336025971666492,0.11997110167108294,False,True
"Beta(2,2)",10,5,Efficient betting,Deterministic,0.699998386669904,0.763982905862252,0.06398451919234804,0.09140666665924901,False,True
"Beta(2,2)",10,5,Efficient betting,Uniformly randomized,0.5331994785822478,0.6033918783251229,0.07019239974287506,0.13164378916782393,False,True
"Beta(2,2)",10,6,STaR betting,Deterministic,0.47904052734374997,0.61192626953125,0.1328857421875,0.2773997910455368,False,True
"Beta(2,2)",10,6,STaR betting,Uniformly randomized,0.43322143554687503,0.5594482421875,0.12622680664062497,0.2913678693698134,False,True
"Beta(2,2)",10,6,Efficient betting,Deterministic,0.5260182470083237,0.6214111328125,0.09539288580417637,0.18134900518511277,False,True
"Beta(2,2)",10,6,Efficient betting,Uniformly randomized,0.4457340791094118,0.56224365234375,0.11650957323433814,0.2613880757493958,False,True
"Beta(2,2)",10,7,STaR betting,Deterministic,0.49771118164062506,0.6092163085937501,0.11150512695312503,0.22403580844932258,False,True
"Beta(2,2)",10,7,STaR betting,Uniformly randomized,0.3534729003906252,0.48024291992187484,0.12677001953124967,0.35864141039144815,False,True
"Beta(2,2)",10,7,Efficient betting,Deterministic,0.5776143576949835,0.6361572265625001,0.058542868867516584,0.10135286300904389,False,True
"Beta(2,2)",10,7,Efficient betting,Uniformly randomized,0.3628610446700201,0.4804748535156248,0.11761380884560468,0.32412905869397135,False,True
"Beta(2,2)",10,8,STaR betting,Deterministic,0.4666564941406251,0.6018798828125,0.13522338867187494,0.2897707207973108,False,True
"Beta(2,2)",10,8,STaR betting,Uniformly randomized,0.28487548828125003,0.36961669921875,0.08474121093749998,0.2974675408150147,False,True
"Beta(2,2)",10,8,Efficient betting,Deterministic,0.4954211823642254,0.6064392089843749,0.11101802662014948,0.2240881709787912,False,True
"Beta(2,2)",10,8,Efficient betting,Uniformly randomized,0.3002030673777981,0.372943115234375,0.0727400478565769,0.24230281353199956,False,True
"Beta(2,2)",10,9,STaR betting,Deterministic,0.5616943359375002,0.6349853515625001,0.07329101562499996,0.13048202720911006,False,True
"Beta(2,2)",10,9,STaR betting,Uniformly randomized,0.49382324218750007,0.5956176757812501,0.10179443359375007,0.20613536362288043,False,True
"Beta(2,2)",10,9,Efficient betting,Deterministic,0.6693545700982213,0.7022644042968752,0.0329098341986539,0.04916651901521307,False,True
"Beta(2,2)",10,9,Efficient betting,Uniformly randomized,0.5395865129832038,0.6096252441406251,0.07003873115742132,0.1298007445927425,False,True
"Beta(2,2)",10,10,STaR betting,Deterministic,0.50364990234375,0.614727783203125,0.11107788085937509,0.22054582030587278,False,True
"Beta(2,2)",10,10,STaR betting,Uniformly randomized,0.40000610351562504,0.5189453125000001,0.11893920898437504,0.29734348535941546,False,True
"Beta(2,2)",10,10,Efficient betting,Deterministic,0.6010333718731999,0.6470703125000001,0.046036940626800193,0.07659631358458507,False,True
"Beta(2,2)",10,10,Efficient betting,Uniformly randomized,0.40613144797210415,0.52044677734375,0.11431532937164585,0.2814737197585788,False,True
"Beta(2,2)",10,11,STaR betting,Deterministic,0.4401672363281251,0.5918029785156251,0.15163574218750003,0.3444957499618675,False,True
"Beta(2,2)",10,11,STaR betting,Uniformly randomized,0.42823486328125016,0.5803039550781249,0.15206909179687478,0.35510675294318794,False,True
"Beta(2,2)",10,11,Efficient betting,Deterministic,0.4545231815427542,0.5957702636718751,0.14124708212912096,0.3107588080539623,False,True
"Beta(2,2)",10,11,Efficient betting,Uniformly randomized,0.43550587253747153,0.5838989257812501,0.1483930532437786,0.3407372037928391,False,True
"Beta(2,2)",10,12,STaR betting,Deterministic,0.5108276367187501,0.617828369140625,0.10700073242187491,0.20946543360336434,False,True
"Beta(2,2)",10,12,STaR betting,Uniformly randomized,0.37962646484374984,0.48200683593749993,0.10238037109375009,0.2696871282034796,False,True
