distribution,n,method,calibration,replications,mean_width_c1,mean_width_c05,mean_paired_difference,mean_relative_change,fraction_c05_narrower,fraction_c05_wider,relative_change_of_means
"Beta(0.5,0.5)",1000,STaR betting,Deterministic,120,0.0586759193354813,0.058947401938930825,0.000271482603449535,0.004634975688356903,0.0,0.9916666666666667,0.00462681465453163
"Beta(0.5,0.5)",1000,STaR betting,Uniformly randomized,120,0.058581380843063774,0.05861516539738531,3.37845543215277e-05,0.0005918100851917713,0.30833333333333335,0.6833333333333333,0.0005767114710395482
"Beta(0.5,0.5)",5000,Efficient betting,Deterministic,60,0.026009876085247175,0.026080048102373972,7.017201712679611e-05,0.002701217835764606,0.06666666666666667,0.9166666666666666,0.0026978989402643982
"Beta(0.5,0.5)",5000,Efficient betting,Uniformly randomized,60,0.025769808144191515,0.0257626103574219,-7.197786769615651e-06,-0.00029411616132965686,0.35,0.65,-0.00027931084039667375
"Beta(0.5,0.5)",5000,STaR betting,Deterministic,60,0.026239143010779727,0.02626198847287685,2.284546209712172e-05,0.0008744988487818313,0.0,0.9833333333333333,0.0008706634240203126
"Beta(0.5,0.5)",5000,STaR betting,Uniformly randomized,60,0.026228442868709255,0.026222543583851298,-5.899284857957543e-06,-0.00021884483944165274,0.35,0.6333333333333333,-0.00022491937045165944
"Beta(0.5,0.5)",10000,Efficient betting,Deterministic,60,0.0183347338050503,0.018367232613641832,3.24988085915338e-05,0.001774363876500464,0.03333333333333333,0.9333333333333333,0.0017725268846053854
"Beta(0.5,0.5)",10000,Efficient betting,Uniformly randomized,60,0.01821089963146936,0.018214543860634667,3.6442291653115967e-06,0.00019113568504064242,0.3333333333333333,0.6666666666666666,0.0002001125281592131
"Beta(0.5,0.5)",10000,STaR betting,Deterministic,60,0.01852006140826126,0.018532010740028717,1.1949331767459788e-05,0.0006510202487555332,0.0,0.9166666666666666,0.0006452101590834758
"Beta(0.5,0.5)",10000,STaR betting,Uniformly randomized,60,0.018513699264558377,0.018512600575542878,-1.0986890154977373e-06,-5.890022663920802e-05,0.3333333333333333,0.6,-5.934465067181094e-05
"Beta(0.5,0.5)",50000,Efficient betting,Deterministic,30,0.00816785203240472,0.008175268534835807,7.416502431088305e-06,0.0009083678466813535,0.03333333333333333,0.9333333333333333,0.0009080113598609607
"Beta(0.5,0.5)",50000,Efficient betting,Uniformly randomized,30,0.008143927493252084,0.008142932701555531,-9.947916965532175e-07,-0.00012439301961305604,0.4666666666666667,0.5333333333333333,-0.00012215134495940916
"Beta(0.5,0.5)",50000,STaR betting,Deterministic,30,0.00832714073004862,0.008328279579941722,1.1388498931008683e-06,0.00013701367202492893,0.0,0.7666666666666667,0.000136763617911706
