distribution,n,method,replications,coverage,mean_width,q10_width,q90_width,mean_sqrt_n_width,q10_sqrt_n_width,q90_sqrt_n_width,mean_sqrt_n_largest_component,mean_normalized_halfwidth,mean_runtime_seconds,mean_score_evaluations,empty_rate
Bernoulli(0.5),3000,Gaffke,50,0.98,0.04732266656648425,0.047311499754376395,0.04733073351234933,2.5919691959758997,2.5913575644872116,2.592411040797946,2.5919691959758966,2.5919691959758997,0.000187913960544338,0.0,0.0
Bernoulli(0.5),3000,Regularized Efficient betting,50,0.98,0.04843361428684294,0.04382714218913071,0.05226564885167301,2.65281830864084,2.400511440797325,2.8627074858705295,2.6528183086408372,2.65281830864084,0.005034716140944464,31.0,0.0
Bernoulli(0.5),3000,STaR betting,30,0.9666666666666667,0.04786036772717941,0.04663309858584694,0.04884620478500397,2.621420301466844,2.554200002183066,2.675416820926348,2.621420301466842,2.621420301466844,0.00141739911244556,31.0,0.0
Bernoulli(0.5),3000,Square-root feedback,50,0.98,0.047924500879546486,0.04663853124372514,0.04885462517340138,2.6249330188903808,2.5544975611097733,2.675878024593168,2.6249330188903786,2.6249330188903808,0.001180846848874298,31.0,0.0
Bernoulli(0.5),3000,Squared-hinge feedback,50,0.98,0.04810592242398344,0.04647265549388152,0.04942206907541538,2.634869886120936,2.545412172116531,2.7069582071183538,2.6348698861209328,2.634869886120936,0.001180846848874298,31.0,0.0
Bernoulli(0.5),3000,Target-capped feedback,50,0.98,0.04757764297402899,0.047528611494817415,0.047619959707163206,2.605934828980289,2.603249264261087,2.6082526119100415,2.6059348289802857,2.605934828980289,0.001180846848874298,31.0,0.0
Bernoulli(0.5),10000,Capped original feedback,50,1.0,0.026875145583862284,0.026621375552061722,0.02727663387039825,2.6875145583862325,2.6621375552061752,2.727663387039826,2.6875145583862285,2.6875145583862325,0.0055701942194718405,31.0,0.0
Bernoulli(0.5),10000,Common-clock Efficient betting,30,1.0,0.025749183556461698,0.02567450813110671,0.02580771930594693,2.5749183556461737,2.5674508131106712,2.580771930594696,2.5749183556461697,2.5749183556461737,0.010574863424214162,123.0,0.0
Bernoulli(0.5),10000,Common-clock STaR betting,30,1.0,0.02619981214196155,0.02513355387342858,0.02681170494029198,2.6199812141961596,2.513355387342861,2.6811704940292,2.6199812141961547,2.6199812141961596,0.00245846990340695,123.0,0.0
Bernoulli(0.5),10000,Efficient betting,30,1.0,0.02574962458968427,0.02567825509573286,0.025807311106672427,2.574962458968427,2.5678255095732863,2.5807311106672426,2.574962458968427,2.574962458968427,0.01422659687232222,31.0,0.0
Bernoulli(0.5),10000,Gaffke,50,1.0,0.02585244322070811,0.02585128106049235,0.02585332180933494,2.5852443220708166,2.5851281060492393,2.585332180933503,2.5852443220708112,2.5852443220708166,0.00020265559782268598,0.0,0.0
Bernoulli(0.5),10000,Regularized Efficient betting,50,1.0,0.026258470923572644,0.023858099003112473,0.02827877434933309,2.6258470923572697,2.3858099003112567,2.827877434933317,2.6258470923572643,2.6258470923572697,0.014691533001605372,31.02,0.0
Bernoulli(0.5),10000,STaR betting,30,1.0,0.026208176613334987,0.02514153431729362,0.02681693869131135,2.620817661333505,2.514153431729369,2.6816938691311436,2.620817661333499,2.620817661333505,0.0034603753825649133,31.0,0.0
