distribution,n,repetition,method,lower,upper,empty,width,normalized_width
"Beta(1,5)",50,12,Optimistic hard-boundary benchmark (not valid),0.09743283213145584,0.26108329538494024,False,0.1636504632534844,1.5946685683635557
"Beta(1,5)",50,13,Chronological GE,0.09859584225341678,0.18461217125877738,False,0.0860163290053606,0.8381738340599928
"Beta(1,5)",50,13,Exact Bernoulli rounding,0.06274113362101995,0.3115087704307171,False,0.24876763680969716,2.424080710557098
"Beta(1,5)",50,13,Symmetric empirical-variance bound,0.0,0.9146227700438125,False,0.9146227700438125,8.912410966043641
"Beta(1,5)",50,13,Optimistic hard-boundary benchmark (not valid),0.08868440842510872,0.24245955129800884,False,0.15377514287290012,1.498439919202659
"Beta(1,5)",50,14,Chronological GE,0.0911970785818994,0.22012833366170526,False,0.12893125507980585,1.2563522025413685
"Beta(1,5)",50,14,Exact Bernoulli rounding,0.057256810975572545,0.3183776848895187,False,0.2611208739139461,2.5444550653621634
"Beta(1,5)",50,14,Symmetric empirical-variance bound,0.0,0.9387847056226262,False,0.9387847056226262,9.147853496742
"Beta(1,5)",50,14,Optimistic hard-boundary benchmark (not valid),0.09463358778876144,0.2574468247681577,False,0.1628132369793963,1.586510336499412
"Beta(1,5)",50,15,Chronological GE,0.12201647600159049,0.2536745104007423,False,0.1316580343991518,1.2829229142092573
"Beta(1,5)",50,15,Exact Bernoulli rounding,0.17478938840113487,0.4945532667828911,False,0.31976387838175624,3.115893447631633
"Beta(1,5)",50,15,Symmetric empirical-variance bound,0.0,1.0,False,1.0,9.74435719068826
"Beta(1,5)",50,15,Optimistic hard-boundary benchmark (not valid),0.11661180763622653,0.3037762807417811,False,0.18716447310555456,1.8237974793474903
"Beta(1,5)",50,16,Chronological GE,0.09278074698522687,0.15739644085988402,False,0.06461569387465715,0.6296384012388269
"Beta(1,5)",50,16,Exact Bernoulli rounding,0.04776850222929223,0.2845778529886256,False,0.23680935075933335,2.3075548998939284
"Beta(1,5)",50,16,Symmetric empirical-variance bound,0.0,0.9182980895001895,False,0.9182980895001895,8.948224591616464
"Beta(1,5)",50,16,Optimistic hard-boundary benchmark (not valid),0.08049395892993896,0.24079298725880244,False,0.16029902832886347,1.562010989356702
"Beta(1,5)",50,17,Chronological GE,0.10509885521605611,0.25076126540079713,False,0.14566241018474102,1.4193865540966641
"Beta(1,5)",50,17,Exact Bernoulli rounding,0.03458356458053397,0.2797621242756787,False,0.24517855969514474,2.3891074611679746
"Beta(1,5)",50,17,Symmetric empirical-variance bound,0.0,0.9772304690382058,False,0.9772304690382058,9.522482747932102
"Beta(1,5)",50,17,Optimistic hard-boundary benchmark (not valid),0.0960550124309415,0.2782075080597206,False,0.1821524956287791,1.7749589805821058
"Beta(1,5)",50,18,Chronological GE,0.12481910875067115,0.22080720541998744,False,0.09598809666931629,0.9353423000001321
"Beta(1,5)",50,18,Exact Bernoulli rounding,0.03679621212460526,0.259397898111611,False,0.22260168598700575,2.1691103395068096
"Beta(1,5)",50,18,Symmetric empirical-variance bound,0.0,1.0,False,1.0,9.74435719068826
"Beta(1,5)",50,18,Optimistic hard-boundary benchmark (not valid),0.11296443121907451,0.2978765103883576,False,0.1849120791692831,1.8018493482983207
"Beta(1,5)",50,19,Chronological GE,0.09682848071679473,0.2482955907471478,False,0.15146711003035307,1.475949622777041
