distribution,population_mean,population_variance,n,sampling_fraction,method,calibration,normalized_mean_width,normalized_standard_error,num_simulations
"Beta(1,5)",0.16666451300779833,0.019838221580868946,400,0.1,WSR running intersection,Uniformly randomized Markov,1.1153831216983887,0.007163470817902923,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,1200,0.3,WSR running intersection,Uniformly randomized Markov,1.1102319322838214,0.006289493703835224,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,2000,0.5,WSR running intersection,Uniformly randomized Markov,1.141727315565958,0.0055564694238120745,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,2800,0.7,WSR running intersection,Uniformly randomized Markov,1.1832662928260296,0.006887916129614466,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,3200,0.8,WSR running intersection,Uniformly randomized Markov,1.2481698299660609,0.0069985650348110984,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,3600,0.9,WSR running intersection,Uniformly randomized Markov,1.3918480939626239,0.00843785563773282,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,400,0.1,Bardenet--Maillard EBS,As published,5.912276109858549,0.004239350518246033,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,1200,0.3,Bardenet--Maillard EBS,As published,4.371237181837679,0.002192405250361197,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,2000,0.5,Bardenet--Maillard EBS,As published,4.125145338464233,0.0014074954790683817,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,2800,0.7,Bardenet--Maillard EBS,As published,4.369460363370138,0.000928315175879731,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,3200,0.8,Bardenet--Maillard EBS,As published,4.79519403473556,0.0007227536877493638,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,3600,0.9,Bardenet--Maillard EBS,As published,5.912759353886763,0.0004792006195000165,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,400,0.1,Shekhar--Ramdas AS-CI,As published,5.057746527040399,0.0067910321254721715,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,1200,0.3,Shekhar--Ramdas AS-CI,As published,4.953002486403816,0.003320027747892318,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,2000,0.5,Shekhar--Ramdas AS-CI,As published,4.8588715652693,0.002311222626974365,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,2800,0.7,Shekhar--Ramdas AS-CI,As published,4.716106473058505,0.0015678706977397296,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,3200,0.8,Shekhar--Ramdas AS-CI,As published,4.59524071706133,0.0011987980333529513,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,3600,0.9,Shekhar--Ramdas AS-CI,As published,4.36462379081419,0.0007289637337434577,200
Bernoulli(0.5),0.5,0.25,400,0.1,Bridge-efficient betting,Deterministic Markov,1.0252966732413995,0.0002722426401191364,200
Bernoulli(0.5),0.5,0.25,1200,0.3,Bridge-efficient betting,Deterministic Markov,1.0172737449607023,9.759308633919752e-05,200
Bernoulli(0.5),0.5,0.25,2000,0.5,Bridge-efficient betting,Deterministic Markov,1.015873992837683,9.761568470698041e-05,200
