distribution,population_mean,population_variance,population_size,n,sampling_fraction,method,calibration,sqrt_n_mean_width,sqrt_n_standard_error,gaussian_sqrt_n_width,num_simulations
"Beta(0.5,0.5)",0.5,0.125,4000,3200,0.8,WSR running intersection,Deterministic Markov,1.1028332194566353,0.003290132042157691,0.8146505839902285,200
"Beta(0.5,0.5)",0.5,0.125,4000,3600,0.9,WSR running intersection,Deterministic Markov,0.8793644917197528,0.0025654464149824714,0.5760449522370716,200
"Beta(0.5,0.5)",0.5,0.125,4000,400,0.1,WSR running intersection,Uniformly randomized Markov,1.893304195012898,0.009985442619541601,1.7281348567112151,200
"Beta(0.5,0.5)",0.5,0.125,4000,1200,0.3,WSR running intersection,Uniformly randomized Markov,1.6729217360898943,0.009676647208667264,1.5240716876133718,200
"Beta(0.5,0.5)",0.5,0.125,4000,2000,0.5,WSR running intersection,Uniformly randomized Markov,1.4792063721681763,0.007133379313805509,1.288075671297712,200
"Beta(0.5,0.5)",0.5,0.125,4000,2800,0.7,WSR running intersection,Uniformly randomized Markov,1.192045943218025,0.00662871805283425,0.9977391247181954,200
"Beta(0.5,0.5)",0.5,0.125,4000,3200,0.8,WSR running intersection,Uniformly randomized Markov,1.0205998533172593,0.005448553346463843,0.8146505839902285,200
"Beta(0.5,0.5)",0.5,0.125,4000,3600,0.9,WSR running intersection,Uniformly randomized Markov,0.8055460075009597,0.0045594419347047025,0.5760449522370716,200
"Beta(0.5,0.5)",0.5,0.125,4000,400,0.1,Bardenet--Maillard EBS,As published,5.569008937838537,0.0032409952714231205,1.7281348567112151,200
"Beta(0.5,0.5)",0.5,0.125,4000,1200,0.3,Bardenet--Maillard EBS,As published,3.97645683198229,0.001430046708807447,1.5240716876133718,200
"Beta(0.5,0.5)",0.5,0.125,4000,2000,0.5,Bardenet--Maillard EBS,As published,3.23479386421741,0.0007554960747342383,1.288075671297712,200
"Beta(0.5,0.5)",0.5,0.125,4000,2800,0.7,Bardenet--Maillard EBS,As published,2.6027816631621206,0.00034417199016756106,0.9977391247181954,200
"Beta(0.5,0.5)",0.5,0.125,4000,3200,0.8,Bardenet--Maillard EBS,As published,2.2634262876232922,0.00023544744424620708,0.8146505839902285,200
"Beta(0.5,0.5)",0.5,0.125,4000,3600,0.9,Bardenet--Maillard EBS,As published,1.8568827483940151,0.00010584374108823044,0.5760449522370716,200
"Beta(0.5,0.5)",0.5,0.125,4000,400,0.1,Shekhar--Ramdas AS-CI,As published,5.851563297679784,0.006719918117434848,1.7281348567112151,200
"Beta(0.5,0.5)",0.5,0.125,4000,1200,0.3,Shekhar--Ramdas AS-CI,As published,5.156856967052381,0.002987267168265599,1.5240716876133718,200
"Beta(0.5,0.5)",0.5,0.125,4000,2000,0.5,Shekhar--Ramdas AS-CI,As published,4.317713654905078,0.0017507955891460777,1.288075671297712,200
"Beta(0.5,0.5)",0.5,0.125,4000,2800,0.7,Shekhar--Ramdas AS-CI,As published,3.2829833722233275,0.0008360413723970935,0.9977391247181954,200
"Beta(0.5,0.5)",0.5,0.125,4000,3200,0.8,Shekhar--Ramdas AS-CI,As published,2.634410402341216,0.0004931547225726286,0.8146505839902285,200
"Beta(0.5,0.5)",0.5,0.125,4000,3600,0.9,Shekhar--Ramdas AS-CI,As published,1.7987406012742049,0.0002543075149345978,0.5760449522370716,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,400,0.1,Bridge-efficient betting,Deterministic Markov,1.5853812840487809,0.010830171587281228,1.4663710511824113,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,1200,0.3,Bridge-efficient betting,Deterministic Markov,1.353453328525743,0.004897362741054887,1.2932177103910087,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,2000,0.5,Bridge-efficient betting,Deterministic Markov,1.1423491970756638,0.003012804209076081,1.0929684502272319,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,2800,0.7,Bridge-efficient betting,Deterministic Markov,0.8843124073022812,0.001980630162947578,0.8466097211320397,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,3200,0.8,Bridge-efficient betting,Deterministic Markov,0.7229125010737786,0.001645072924380098,0.691253942684486,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,3600,0.9,Bridge-efficient betting,Deterministic Markov,0.5210614148341121,0.001472437413264509,0.4887903503941371,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,400,0.1,Bridge-efficient betting,Uniformly randomized Markov,1.5178268955554812,0.011092034876191295,1.4663710511824113,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,1200,0.3,Bridge-efficient betting,Uniformly randomized Markov,1.3090375870797348,0.0054342626604120215,1.2932177103910087,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,2000,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.1077521884514359,0.003571466825645132,1.0929684502272319,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,2800,0.7,Bridge-efficient betting,Uniformly randomized Markov,0.8552098845688519,0.0023503191047231364,0.8466097211320397,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,3200,0.8,Bridge-efficient betting,Uniformly randomized Markov,0.6969467143705421,0.002130036798649453,0.691253942684486,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,3600,0.9,Bridge-efficient betting,Uniformly randomized Markov,0.4962240217812361,0.0018558038589617121,0.4887903503941371,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,400,0.1,WSR running intersection,Deterministic Markov,1.7870932663790882,0.013602951341815156,1.4663710511824113,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,1200,0.3,WSR running intersection,Deterministic Markov,1.5482505904959896,0.007450985351274246,1.2932177103910087,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,2000,0.5,WSR running intersection,Deterministic Markov,1.341651451297749,0.004774406853631048,1.0929684502272319,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,2800,0.7,WSR running intersection,Deterministic Markov,1.0953105631091629,0.0028130994539144146,0.8466097211320397,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,3200,0.8,WSR running intersection,Deterministic Markov,0.9469965051710342,0.0022609760156208475,0.691253942684486,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,3600,0.9,WSR running intersection,Deterministic Markov,0.7550198794249448,0.001560169962598505,0.4887903503941371,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,400,0.1,WSR running intersection,Uniformly randomized Markov,1.695881061377004,0.01437295688110507,1.4663710511824113,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,1200,0.3,WSR running intersection,Uniformly randomized Markov,1.4611225525152662,0.009807072487930718,1.2932177103910087,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,2000,0.5,WSR running intersection,Uniformly randomized Markov,1.2499784617644434,0.0071009559194752285,1.0929684502272319,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,2800,0.7,WSR running intersection,Uniformly randomized Markov,1.0136342299420447,0.005948446046813447,0.8466097211320397,200
