distribution,population_mean,population_variance,replication,n,sampling_fraction,method,width,calibration,normalized_width
"Uniform(0,1)",0.5,0.08333332812500001,2,3600,0.9,WSR running intersection,0.008847192395478432,Uniformly randomized Markov,1.128615446670408
"Uniform(0,1)",0.5,0.08333332812500001,2,3600,0.9,Bardenet--Maillard EBS,0.028417173960307518,As published,3.6251117923822185
"Uniform(0,1)",0.5,0.08333332812500001,2,3600,0.9,Shekhar--Ramdas AS-CI,0.029868284773099163,As published,3.810226572861516
"Uniform(0,1)",0.5,0.08333332812500001,3,400,0.1,Bridge-efficient betting,0.07323417915031322,Deterministic Markov,1.03803459295445
"Uniform(0,1)",0.5,0.08333332812500001,3,400,0.1,Bridge-efficient betting,0.06953427465632567,Uniformly randomized Markov,0.9855914728164635
"Uniform(0,1)",0.5,0.08333332812500001,3,400,0.1,WSR running intersection,0.0801773814484475,Deterministic Markov,1.1364488068497305
"Uniform(0,1)",0.5,0.08333332812500001,3,400,0.1,WSR running intersection,0.07035007774829855,Uniformly randomized Markov,0.997154814419145
"Uniform(0,1)",0.5,0.08333332812500001,3,400,0.1,Bardenet--Maillard EBS,0.2546227290861167,As published,3.609068934894015
"Uniform(0,1)",0.5,0.08333332812500001,3,400,0.1,Shekhar--Ramdas AS-CI,0.29561440615578727,As published,4.190092431234436
"Uniform(0,1)",0.5,0.08333332812500001,3,1200,0.3,Bridge-efficient betting,0.03685463033616537,Deterministic Markov,1.0259422855895333
"Uniform(0,1)",0.5,0.08333332812500001,3,1200,0.3,Bridge-efficient betting,0.035974686965346336,Uniformly randomized Markov,1.0014468258653977
"Uniform(0,1)",0.5,0.08333332812500001,3,1200,0.3,WSR running intersection,0.04279738189652538,Deterministic Markov,1.1913738762177428
"Uniform(0,1)",0.5,0.08333332812500001,3,1200,0.3,WSR running intersection,0.04018744910135863,Uniformly randomized Markov,1.1187197648432792
"Uniform(0,1)",0.5,0.08333332812500001,3,1200,0.3,Bardenet--Maillard EBS,0.10260254913823053,As published,2.856202675485609
"Uniform(0,1)",0.5,0.08333332812500001,3,1200,0.3,Shekhar--Ramdas AS-CI,0.1503659058935034,As published,4.1858170807845525
"Uniform(0,1)",0.5,0.08333332812500001,3,2000,0.5,Bridge-efficient betting,0.023834537249058485,Deterministic Markov,1.0135052154050785
"Uniform(0,1)",0.5,0.08333332812500001,3,2000,0.5,Bridge-efficient betting,0.023609955795109272,Uniformly randomized Markov,1.0039554401154502
"Uniform(0,1)",0.5,0.08333332812500001,3,2000,0.5,WSR running intersection,0.02789516281336546,Deterministic Markov,1.1861733542587027
"Uniform(0,1)",0.5,0.08333332812500001,3,2000,0.5,WSR running intersection,0.027859751135110855,Uniformly randomized Markov,1.1846675595280454
"Uniform(0,1)",0.5,0.08333332812500001,3,2000,0.5,Bardenet--Maillard EBS,0.06445618723337049,As published,2.740841210530646
"Uniform(0,1)",0.5,0.08333332812500001,3,2000,0.5,Shekhar--Ramdas AS-CI,0.09764835545810802,As published,4.152256723022003
"Uniform(0,1)",0.5,0.08333332812500001,3,2800,0.7,Bridge-efficient betting,0.015733078122138977,Deterministic Markov,1.0219304862128917
"Uniform(0,1)",0.5,0.08333332812500001,3,2800,0.7,Bridge-efficient betting,0.015480195265263563,Uniformly randomized Markov,1.0055046667467094
"Uniform(0,1)",0.5,0.08333332812500001,3,2800,0.7,WSR running intersection,0.019699546974152438,Deterministic Markov,1.2795695452081266
"Uniform(0,1)",0.5,0.08333332812500001,3,2800,0.7,WSR running intersection,0.0194869439117612,Uniformly randomized Markov,1.265760070086148
"Uniform(0,1)",0.5,0.08333332812500001,3,2800,0.7,Bardenet--Maillard EBS,0.043979968816931614,As published,2.8566864390936075
"Uniform(0,1)",0.5,0.08333332812500001,3,2800,0.7,Shekhar--Ramdas AS-CI,0.06265029089758145,As published,4.069403440401919
"Uniform(0,1)",0.5,0.08333332812500001,3,3200,0.8,Bridge-efficient betting,0.012121799029409908,Deterministic Markov,1.0308995226567248
"Uniform(0,1)",0.5,0.08333332812500001,3,3200,0.8,Bridge-efficient betting,0.011971724778413795,Uniformly randomized Markov,1.0181364440625658
"Uniform(0,1)",0.5,0.08333332812500001,3,3200,0.8,WSR running intersection,0.014796103723347165,Deterministic Markov,1.2583360133731334
"Uniform(0,1)",0.5,0.08333332812500001,3,3200,0.8,WSR running intersection,0.014673953875899315,Uniformly randomized Markov,1.247947768268503
"Uniform(0,1)",0.5,0.08333332812500001,3,3200,0.8,Bardenet--Maillard EBS,0.0361485693067381,As published,3.074258429184165
"Uniform(0,1)",0.5,0.08333332812500001,3,3200,0.8,Shekhar--Ramdas AS-CI,0.04679976721966278,As published,3.980090543502833
"Uniform(0,1)",0.5,0.08333332812500001,3,3600,0.9,Bridge-efficient betting,0.008267085254192452,Deterministic Markov,1.0546125482239155
"Uniform(0,1)",0.5,0.08333332812500001,3,3600,0.9,Bridge-efficient betting,0.007536197640001685,Uniformly randomized Markov,0.9613749408246053
"Uniform(0,1)",0.5,0.08333332812500001,3,3600,0.9,WSR running intersection,0.011679169628769137,Deterministic Markov,1.4898840963433049
