distribution,n,sampling_fraction,method,normalized_mean_width,normalized_standard_error,num_simulations
"Beta(50,50)",650,0.65,Hedged-WoR,1.9662173039439295,0.004785353048997991,40
"Beta(50,50)",800,0.8,Hedged-WoR,2.089973052276493,0.006227377666386561,40
"Beta(50,50)",900,0.9,Hedged-WoR,2.3934313922276127,0.005271936508255966,40
"Beta(50,50)",950,0.95,Hedged-WoR,2.830252990025362,0.004505321881856244,40
"Beta(20,80)",10,0.01,Stitched bridge-efficient,11.034989829341784,0.021708870432204888,40
"Beta(20,80)",20,0.02,Stitched bridge-efficient,8.281151290369007,0.013722726835435258,40
"Beta(20,80)",40,0.04,Stitched bridge-efficient,6.033392410031349,0.014416179225834167,40
"Beta(20,80)",75,0.075,Stitched bridge-efficient,4.63880736647054,0.013434338817815366,40
"Beta(20,80)",125,0.125,Stitched bridge-efficient,3.7437009274551913,0.01216443759493328,40
"Beta(20,80)",200,0.2,Stitched bridge-efficient,3.1203507957572763,0.01000607664391697,40
"Beta(20,80)",350,0.35,Stitched bridge-efficient,2.6043776259209066,0.00942485426453127,40
"Beta(20,80)",500,0.5,Stitched bridge-efficient,2.3582310371404502,0.008741892255266006,40
"Beta(20,80)",650,0.65,Stitched bridge-efficient,2.2312449051874843,0.008418627840583897,40
"Beta(20,80)",800,0.8,Stitched bridge-efficient,2.208713411597599,0.009042134904656381,40
"Beta(20,80)",900,0.9,Stitched bridge-efficient,2.3229138740335404,0.012070612671978094,40
"Beta(20,80)",950,0.95,Stitched bridge-efficient,2.541828891045617,0.020843165563160085,40
"Beta(20,80)",10,0.01,Hedged-WoR,10.274288099584371,0.020365510187599207,40
"Beta(20,80)",20,0.02,Hedged-WoR,8.699293935695668,0.013090227649271953,40
"Beta(20,80)",40,0.04,Hedged-WoR,6.925304547663643,0.009974721154633617,40
"Beta(20,80)",75,0.075,Hedged-WoR,5.458577178218069,0.009256797775026037,40
"Beta(20,80)",125,0.125,Hedged-WoR,4.4606559062908575,0.010844097203818326,40
"Beta(20,80)",200,0.2,Hedged-WoR,3.7047288610231752,0.010863057372497077,40
"Beta(20,80)",350,0.35,Hedged-WoR,3.0111210993785313,0.013302953506866912,40
"Beta(20,80)",500,0.5,Hedged-WoR,2.701178408468196,0.013238467538640915,40
"Beta(20,80)",650,0.65,Hedged-WoR,2.581265496947208,0.015667693392131535,40
"Beta(20,80)",800,0.8,Hedged-WoR,2.5954806528446333,0.01942431062523591,40
"Beta(20,80)",900,0.9,Hedged-WoR,2.852614321174665,0.022337751631658926,40
"Beta(20,80)",950,0.95,Hedged-WoR,3.2903724770417684,0.027032207589236645,40
"Uniform(0.45,0.55)",10,0.01,Stitched bridge-efficient,13.094868904218213,0.002979747083125458,40
"Uniform(0.45,0.55)",20,0.02,Stitched bridge-efficient,10.148352424703182,0.002752766348092346,40
"Uniform(0.45,0.55)",40,0.04,Stitched bridge-efficient,7.568107347511545,0.002477987705228755,40
"Uniform(0.45,0.55)",75,0.075,Stitched bridge-efficient,5.734841308872133,0.0026010645727010495,40
"Uniform(0.45,0.55)",125,0.125,Stitched bridge-efficient,4.570009704497667,0.0025107079682287867,40
"Uniform(0.45,0.55)",200,0.2,Stitched bridge-efficient,3.733458317247736,0.0026510140517564756,40
"Uniform(0.45,0.55)",350,0.35,Stitched bridge-efficient,2.996855946625151,0.002192105655972579,40
"Uniform(0.45,0.55)",500,0.5,Stitched bridge-efficient,2.658989050102843,0.002599900779731247,40
"Uniform(0.45,0.55)",650,0.65,Stitched bridge-efficient,2.4977953605763648,0.0026433854914373308,40
"Uniform(0.45,0.55)",800,0.8,Stitched bridge-efficient,2.473712179138451,0.004392928581697552,40
"Uniform(0.45,0.55)",900,0.9,Stitched bridge-efficient,2.6483571394925187,0.006026009647089041,40
"Uniform(0.45,0.55)",950,0.95,Stitched bridge-efficient,2.9875330941657987,0.01140550101415484,40
"Uniform(0.45,0.55)",10,0.01,Hedged-WoR,13.191027337888954,0.0008723064327120382,40
"Uniform(0.45,0.55)",20,0.02,Hedged-WoR,11.421105168203205,0.0008259200256273064,40
"Uniform(0.45,0.55)",40,0.04,Hedged-WoR,9.092897273369896,0.0008732829978471955,40
"Uniform(0.45,0.55)",75,0.075,Hedged-WoR,7.071510951255794,0.0009430839432562745,40
"Uniform(0.45,0.55)",125,0.125,Hedged-WoR,5.66460501102172,0.0011209606294752907,40
"Uniform(0.45,0.55)",200,0.2,Hedged-WoR,4.5867122217696386,0.002376570201934355,40
"Uniform(0.45,0.55)",350,0.35,Hedged-WoR,3.577479454165444,0.002210332212444718,40
"Uniform(0.45,0.55)",500,0.5,Hedged-WoR,3.083466969931858,0.0028163133832280543,40
"Uniform(0.45,0.55)",650,0.65,Hedged-WoR,2.830101935043769,0.0023445551683666673,40
"Uniform(0.45,0.55)",800,0.8,Hedged-WoR,2.7585395343904837,0.002230928442210738,40
"Uniform(0.45,0.55)",900,0.9,Hedged-WoR,2.9263918158190827,0.0017369236199179096,40
"Uniform(0.45,0.55)",950,0.95,Hedged-WoR,3.2969411784428373,0.0016197496748529135,40
