distribution,population_mean,population_variance,replication,n,sampling_fraction,method,lower,upper,width,normalized_width
"Uniform(0,1)",0.5,0.08333325,1,800,0.8,Hedged-WoR,0.4749569491767878,0.5177293972396845,0.04277244806289665,2.3894040797808906
"Uniform(0,1)",0.5,0.08333325,1,900,0.9,Hedged-WoR,0.47941268211555443,0.514265675603866,0.03485299348831161,2.920497490969732
"Uniform(0,1)",0.5,0.08333325,1,950,0.95,Hedged-WoR,0.48230173756980843,0.5116938935747142,0.029392156004905745,3.5785224172846353
"Uniform(0,1)",0.5,0.08333325,2,10,0.01,Stitched bridge-efficient,0.03428964536762237,0.7921014324960708,0.7578117871284484,2.127351512434309
"Uniform(0,1)",0.5,0.08333325,2,20,0.02,Stitched bridge-efficient,0.16910541651535033,0.6072928404598239,0.4381874239444736,1.748466704784862
"Uniform(0,1)",0.5,0.08333325,2,40,0.04,Stitched bridge-efficient,0.33332640850830075,0.6043052789001464,0.27097887039184565,1.5449886908268033
"Uniform(0,1)",0.5,0.08333325,2,75,0.075,Stitched bridge-efficient,0.4237674655637741,0.6074168848118779,0.18364941924810385,1.4606454905560708
"Uniform(0,1)",0.5,0.08333325,2,125,0.125,Stitched bridge-efficient,0.43103050510120394,0.5808020613594056,0.14977155625820165,1.5811600037471694
"Uniform(0,1)",0.5,0.08333325,2,200,0.2,Stitched bridge-efficient,0.44095453111267086,0.557262838760376,0.11630830764770511,1.6243373795040679
"Uniform(0,1)",0.5,0.08333325,2,350,0.35,Stitched bridge-efficient,0.469512782464981,0.5467565993175507,0.0772438168525697,1.5832028642633895
"Uniform(0,1)",0.5,0.08333325,2,500,0.5,Stitched bridge-efficient,0.47673345853996285,0.5352471595020295,0.05851370096206665,1.634380099032992
"Uniform(0,1)",0.5,0.08333325,2,650,0.65,Stitched bridge-efficient,0.48165155642032653,0.5261357604742053,0.04448420405387876,1.6932612821683457
"Uniform(0,1)",0.5,0.08333325,2,800,0.8,Stitched bridge-efficient,0.4865844368095405,0.5170448660011298,0.030460429191589256,1.7016158082706505
"Uniform(0,1)",0.5,0.08333325,2,900,0.9,Stitched bridge-efficient,0.4925496589965824,0.5128587436504366,0.020309084653854226,1.7017944468776949
"Uniform(0,1)",0.5,0.08333325,2,950,0.95,Stitched bridge-efficient,0.4967294067478184,0.5106785297727587,0.013949123024940335,1.6983187432006939
"Uniform(0,1)",0.5,0.08333325,2,10,0.01,Hedged-WoR,0.147712963634491,0.7270367817220688,0.5793238180875777,1.6262948419789254
"Uniform(0,1)",0.5,0.08333325,2,20,0.02,Hedged-WoR,0.21611963508415225,0.5786163663654329,0.3624967312812807,1.4464437603735985
"Uniform(0,1)",0.5,0.08333325,2,40,0.04,Hedged-WoR,0.32179722988891596,0.5721631737976076,0.25036594390869166,1.4274638880432298
