distribution,replication,method,simultaneously_covered
"Beta(2,2)",29,Stitched bridge-efficient,1
"Beta(2,2)",29,Hedged-WoR,1
"Beta(2,2)",30,Stitched bridge-efficient,1
"Beta(2,2)",30,Hedged-WoR,1
"Beta(2,2)",31,Stitched bridge-efficient,1
"Beta(2,2)",31,Hedged-WoR,1
"Beta(2,2)",32,Stitched bridge-efficient,1
"Beta(2,2)",32,Hedged-WoR,1
"Beta(2,2)",33,Stitched bridge-efficient,1
"Beta(2,2)",33,Hedged-WoR,1
"Beta(2,2)",34,Stitched bridge-efficient,1
"Beta(2,2)",34,Hedged-WoR,1
"Beta(2,2)",35,Stitched bridge-efficient,0
"Beta(2,2)",35,Hedged-WoR,1
"Beta(2,2)",36,Stitched bridge-efficient,1
"Beta(2,2)",36,Hedged-WoR,1
"Beta(2,2)",37,Stitched bridge-efficient,1
"Beta(2,2)",37,Hedged-WoR,1
"Beta(2,2)",38,Stitched bridge-efficient,1
"Beta(2,2)",38,Hedged-WoR,1
"Beta(2,2)",39,Stitched bridge-efficient,1
"Beta(2,2)",39,Hedged-WoR,1
"Beta(1,5)",0,Stitched bridge-efficient,1
"Beta(1,5)",0,Hedged-WoR,1
"Beta(1,5)",1,Stitched bridge-efficient,1
"Beta(1,5)",1,Hedged-WoR,1
"Beta(1,5)",2,Stitched bridge-efficient,1
"Beta(1,5)",2,Hedged-WoR,1
"Beta(1,5)",3,Stitched bridge-efficient,1
"Beta(1,5)",3,Hedged-WoR,1
"Beta(1,5)",4,Stitched bridge-efficient,1
"Beta(1,5)",4,Hedged-WoR,1
"Beta(1,5)",5,Stitched bridge-efficient,1
"Beta(1,5)",5,Hedged-WoR,1
"Beta(1,5)",6,Stitched bridge-efficient,1
"Beta(1,5)",6,Hedged-WoR,1
"Beta(1,5)",7,Stitched bridge-efficient,1
"Beta(1,5)",7,Hedged-WoR,1
"Beta(1,5)",8,Stitched bridge-efficient,1
"Beta(1,5)",8,Hedged-WoR,1
"Beta(1,5)",9,Stitched bridge-efficient,1
"Beta(1,5)",9,Hedged-WoR,1
"Beta(1,5)",10,Stitched bridge-efficient,1
"Beta(1,5)",10,Hedged-WoR,1
"Beta(1,5)",11,Stitched bridge-efficient,1
"Beta(1,5)",11,Hedged-WoR,1
"Beta(1,5)",12,Stitched bridge-efficient,1
"Beta(1,5)",12,Hedged-WoR,1
"Beta(1,5)",13,Stitched bridge-efficient,1
"Beta(1,5)",13,Hedged-WoR,1
"Beta(1,5)",14,Stitched bridge-efficient,1
"Beta(1,5)",14,Hedged-WoR,1
"Beta(1,5)",15,Stitched bridge-efficient,1
"Beta(1,5)",15,Hedged-WoR,1
"Beta(1,5)",16,Stitched bridge-efficient,1
"Beta(1,5)",16,Hedged-WoR,1
"Beta(1,5)",17,Stitched bridge-efficient,1
"Beta(1,5)",17,Hedged-WoR,1
"Beta(1,5)",18,Stitched bridge-efficient,1
"Beta(1,5)",18,Hedged-WoR,1
"Beta(1,5)",19,Stitched bridge-efficient,1
"Beta(1,5)",19,Hedged-WoR,1
"Beta(1,5)",20,Stitched bridge-efficient,1
"Beta(1,5)",20,Hedged-WoR,1
"Beta(1,5)",21,Stitched bridge-efficient,1
"Beta(1,5)",21,Hedged-WoR,1
"Beta(1,5)",22,Stitched bridge-efficient,1
"Beta(1,5)",22,Hedged-WoR,1
"Beta(1,5)",23,Stitched bridge-efficient,1
"Beta(1,5)",23,Hedged-WoR,1
"Beta(1,5)",24,Stitched bridge-efficient,1
"Beta(1,5)",24,Hedged-WoR,1
"Beta(1,5)",25,Stitched bridge-efficient,1
"Beta(1,5)",25,Hedged-WoR,1
"Beta(1,5)",26,Stitched bridge-efficient,1
"Beta(1,5)",26,Hedged-WoR,1
"Beta(1,5)",27,Stitched bridge-efficient,1
"Beta(1,5)",27,Hedged-WoR,1
"Beta(1,5)",28,Stitched bridge-efficient,1
"Beta(1,5)",28,Hedged-WoR,1
"Beta(1,5)",29,Stitched bridge-efficient,1
"Beta(1,5)",29,Hedged-WoR,1
"Beta(1,5)",30,Stitched bridge-efficient,0
"Beta(1,5)",30,Hedged-WoR,0
"Beta(1,5)",31,Stitched bridge-efficient,1
"Beta(1,5)",31,Hedged-WoR,1
"Beta(1,5)",32,Stitched bridge-efficient,1
"Beta(1,5)",32,Hedged-WoR,1
"Beta(1,5)",33,Stitched bridge-efficient,1
"Beta(1,5)",33,Hedged-WoR,1
"Beta(1,5)",34,Stitched bridge-efficient,1
"Beta(1,5)",34,Hedged-WoR,1
"Beta(1,5)",35,Stitched bridge-efficient,1
"Beta(1,5)",35,Hedged-WoR,1
"Beta(1,5)",36,Stitched bridge-efficient,1
"Beta(1,5)",36,Hedged-WoR,1
"Beta(1,5)",37,Stitched bridge-efficient,1
"Beta(1,5)",37,Hedged-WoR,1
"Beta(1,5)",38,Stitched bridge-efficient,1
"Beta(1,5)",38,Hedged-WoR,1
"Beta(1,5)",39,Stitched bridge-efficient,1
"Beta(1,5)",39,Hedged-WoR,1
Bernoulli(0.5),0,Stitched bridge-efficient,1
Bernoulli(0.5),0,Hedged-WoR,1
Bernoulli(0.5),1,Stitched bridge-efficient,1
Bernoulli(0.5),1,Hedged-WoR,1
Bernoulli(0.5),2,Stitched bridge-efficient,1
Bernoulli(0.5),2,Hedged-WoR,1
Bernoulli(0.5),3,Stitched bridge-efficient,1
Bernoulli(0.5),3,Hedged-WoR,1
Bernoulli(0.5),4,Stitched bridge-efficient,1
Bernoulli(0.5),4,Hedged-WoR,1
Bernoulli(0.5),5,Stitched bridge-efficient,1
Bernoulli(0.5),5,Hedged-WoR,1
Bernoulli(0.5),6,Stitched bridge-efficient,1
Bernoulli(0.5),6,Hedged-WoR,1
Bernoulli(0.5),7,Stitched bridge-efficient,0
Bernoulli(0.5),7,Hedged-WoR,1
Bernoulli(0.5),8,Stitched bridge-efficient,1
Bernoulli(0.5),8,Hedged-WoR,1
Bernoulli(0.5),9,Stitched bridge-efficient,1
Bernoulli(0.5),9,Hedged-WoR,1
Bernoulli(0.5),10,Stitched bridge-efficient,1
Bernoulli(0.5),10,Hedged-WoR,1
Bernoulli(0.5),11,Stitched bridge-efficient,1
Bernoulli(0.5),11,Hedged-WoR,1
Bernoulli(0.5),12,Stitched bridge-efficient,1
Bernoulli(0.5),12,Hedged-WoR,1
Bernoulli(0.5),13,Stitched bridge-efficient,1
Bernoulli(0.5),13,Hedged-WoR,1
Bernoulli(0.5),14,Stitched bridge-efficient,1
Bernoulli(0.5),14,Hedged-WoR,1
Bernoulli(0.5),15,Stitched bridge-efficient,1
Bernoulli(0.5),15,Hedged-WoR,1
Bernoulli(0.5),16,Stitched bridge-efficient,1
Bernoulli(0.5),16,Hedged-WoR,1
Bernoulli(0.5),17,Stitched bridge-efficient,1
Bernoulli(0.5),17,Hedged-WoR,1
Bernoulli(0.5),18,Stitched bridge-efficient,1
Bernoulli(0.5),18,Hedged-WoR,1
Bernoulli(0.5),19,Stitched bridge-efficient,1
Bernoulli(0.5),19,Hedged-WoR,1
Bernoulli(0.5),20,Stitched bridge-efficient,1
Bernoulli(0.5),20,Hedged-WoR,1
Bernoulli(0.5),21,Stitched bridge-efficient,1
Bernoulli(0.5),21,Hedged-WoR,1
Bernoulli(0.5),22,Stitched bridge-efficient,1
Bernoulli(0.5),22,Hedged-WoR,1
Bernoulli(0.5),23,Stitched bridge-efficient,1
Bernoulli(0.5),23,Hedged-WoR,1
Bernoulli(0.5),24,Stitched bridge-efficient,1
Bernoulli(0.5),24,Hedged-WoR,1
Bernoulli(0.5),25,Stitched bridge-efficient,1
Bernoulli(0.5),25,Hedged-WoR,1
Bernoulli(0.5),26,Stitched bridge-efficient,1
Bernoulli(0.5),26,Hedged-WoR,1
Bernoulli(0.5),27,Stitched bridge-efficient,1
Bernoulli(0.5),27,Hedged-WoR,1
Bernoulli(0.5),28,Stitched bridge-efficient,1
Bernoulli(0.5),28,Hedged-WoR,1
Bernoulli(0.5),29,Stitched bridge-efficient,1
Bernoulli(0.5),29,Hedged-WoR,1
Bernoulli(0.5),30,Stitched bridge-efficient,1
Bernoulli(0.5),30,Hedged-WoR,1
Bernoulli(0.5),31,Stitched bridge-efficient,0
Bernoulli(0.5),31,Hedged-WoR,0
Bernoulli(0.5),32,Stitched bridge-efficient,1
Bernoulli(0.5),32,Hedged-WoR,1
Bernoulli(0.5),33,Stitched bridge-efficient,1
Bernoulli(0.5),33,Hedged-WoR,1
Bernoulli(0.5),34,Stitched bridge-efficient,1
Bernoulli(0.5),34,Hedged-WoR,1
Bernoulli(0.5),35,Stitched bridge-efficient,1
Bernoulli(0.5),35,Hedged-WoR,1
Bernoulli(0.5),36,Stitched bridge-efficient,1
Bernoulli(0.5),36,Hedged-WoR,1
Bernoulli(0.5),37,Stitched bridge-efficient,1
Bernoulli(0.5),37,Hedged-WoR,1
Bernoulli(0.5),38,Stitched bridge-efficient,1
Bernoulli(0.5),38,Hedged-WoR,1
Bernoulli(0.5),39,Stitched bridge-efficient,1
Bernoulli(0.5),39,Hedged-WoR,1
"Beta(50,50)",0,Stitched bridge-efficient,1
"Beta(50,50)",0,Hedged-WoR,1
"Beta(50,50)",1,Stitched bridge-efficient,1
"Beta(50,50)",1,Hedged-WoR,1
"Beta(50,50)",2,Stitched bridge-efficient,1
"Beta(50,50)",2,Hedged-WoR,1
"Beta(50,50)",3,Stitched bridge-efficient,1
"Beta(50,50)",3,Hedged-WoR,1
"Beta(50,50)",4,Stitched bridge-efficient,1
"Beta(50,50)",4,Hedged-WoR,1
"Beta(50,50)",5,Stitched bridge-efficient,1
"Beta(50,50)",5,Hedged-WoR,1
"Beta(50,50)",6,Stitched bridge-efficient,1
"Beta(50,50)",6,Hedged-WoR,1
"Beta(50,50)",7,Stitched bridge-efficient,1
"Beta(50,50)",7,Hedged-WoR,1
"Beta(50,50)",8,Stitched bridge-efficient,1
"Beta(50,50)",8,Hedged-WoR,1
"Beta(50,50)",9,Stitched bridge-efficient,1
"Beta(50,50)",9,Hedged-WoR,1
"Beta(50,50)",10,Stitched bridge-efficient,1
"Beta(50,50)",10,Hedged-WoR,1
"Beta(50,50)",11,Stitched bridge-efficient,1
"Beta(50,50)",11,Hedged-WoR,1
"Beta(50,50)",12,Stitched bridge-efficient,1
"Beta(50,50)",12,Hedged-WoR,1
"Beta(50,50)",13,Stitched bridge-efficient,1
"Beta(50,50)",13,Hedged-WoR,1
"Beta(50,50)",14,Stitched bridge-efficient,1
"Beta(50,50)",14,Hedged-WoR,1
"Beta(50,50)",15,Stitched bridge-efficient,1
"Beta(50,50)",15,Hedged-WoR,1
"Beta(50,50)",16,Stitched bridge-efficient,1
"Beta(50,50)",16,Hedged-WoR,1
"Beta(50,50)",17,Stitched bridge-efficient,1
